AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
City Administrator/Deputy Mayor,554.95,2009-11-21
City Administrator/Deputy Mayor,645.76,2009-04-03
City Administrator/Deputy Mayor,257.43,2009-05-14
City Administrator/Deputy Mayor,620.17,2009-11-13
City Administrator/Deputy Mayor,494.5,2009-02-10
City Administrator/Deputy Mayor,892.68,2009-10-26
City Administrator/Deputy Mayor,-59.83,2009-05-12
City Administrator/Deputy Mayor,1541.96,2009-07-10
City Administrator/Deputy Mayor,-562.23,2009-08-20
City Administrator/Deputy Mayor,-362.43,2009-11-30
City Administrator/Deputy Mayor,-577.99,2009-12-31
City Administrator/Deputy Mayor,471.01,2009-09-25
City Administrator/Deputy Mayor,1511.82,2008-11-20
City Administrator/Deputy Mayor,734.06,2009-09-15
City Administrator/Deputy Mayor,998.76,2009-05-29
City Administrator/Deputy Mayor,-838.01,2009-05-11
City Administrator/Deputy Mayor,-24.31,2008-11-26
City Administrator/Deputy Mayor,3086.27,2009-04-09
City Administrator/Deputy Mayor,974.99,2009-06-20
City Administrator/Deputy Mayor,497.41,2009-07-28
City Administrator/Deputy Mayor,365.7,2009-05-31
City Administrator/Deputy Mayor,2159.96,2009-08-20
City Administrator/Deputy Mayor,840.18,2009-06-24
City Administrator/Deputy Mayor,1735.28,2009-04-09
City Administrator/Deputy Mayor,-19.56,2009-09-24
City Administrator/Deputy Mayor,407.67,2010-02-11
City Administrator/Deputy Mayor,1598.77,2009-05-13
City Administrator/Deputy Mayor,383.23,2009-01-31
City Administrator/Deputy Mayor,-19.41,2010-01-09
City Administrator/Deputy Mayor,-334.84,2008-09-29
City Administrator/Deputy Mayor,2074.03,2008-10-17
City Administrator/Deputy Mayor,327.57,2009-09-25
City Administrator/Deputy Mayor,1039.12,2009-04-26
City Administrator/Deputy Mayor,1652.72,2009-02-06
City Administrator/Deputy Mayor,983.07,2009-05-15
City Administrator/Deputy Mayor,598.47,2009-06-30
City Administrator/Deputy Mayor,1156.0,2009-07-19
City Administrator/Deputy Mayor,3430.5,2008-11-01
City Administrator/Deputy Mayor,502.05,2009-08-08
City Administrator/Deputy Mayor,1117.81,2009-05-23
City Administrator/Deputy Mayor,1082.53,2009-05-25
City Administrator/Deputy Mayor,2914.83,2009-07-19
City Administrator/Deputy Mayor,11.31,2009-12-20
City Administrator/Deputy Mayor,132.01,2009-02-11
City Administrator/Deputy Mayor,1926.09,2009-04-17
City Administrator/Deputy Mayor,-240.84,2009-05-03
City Administrator/Deputy Mayor,863.36,2009-02-09
City Administrator/Deputy Mayor,1504.34,2009-07-16
City Administrator/Deputy Mayor,1868.1,2009-02-25
City Administrator/Deputy Mayor,79.81,2009-04-08
City Administrator/Deputy Mayor,262.42,2009-07-25
City Administrator/Deputy Mayor,945.4,2009-08-04
City Administrator/Deputy Mayor,-419.57,2009-03-19
City Administrator/Deputy Mayor,2269.37,2009-06-04
City Administrator/Deputy Mayor,-359.66,2009-05-19
City Administrator/Deputy Mayor,938.86,2010-03-01
City Administrator/Deputy Mayor,214.93,2009-06-07
City Administrator/Deputy Mayor,-1908.01,2009-08-25
City Administrator/Deputy Mayor,2168.74,2009-10-12
City Administrator/Deputy Mayor,-468.21,2009-06-25
City Administrator/Deputy Mayor,510.03,2009-04-28
City Administrator/Deputy Mayor,-176.77,2009-05-23
City Administrator/Deputy Mayor,-1105.56,2009-10-16
City Administrator/Deputy Mayor,-232.43,2009-08-29
City Administrator/Deputy Mayor,-190.26,2009-04-08
City Administrator/Deputy Mayor,192.77,2009-07-02
City Administrator/Deputy Mayor,170.74,2009-03-21
City Administrator/Deputy Mayor,621.48,2009-07-05
City Administrator/Deputy Mayor,2138.88,2009-01-27
City Administrator/Deputy Mayor,1409.01,2009-05-03
City Administrator/Deputy Mayor,1309.08,2009-08-03
City Administrator/Deputy Mayor,2451.31,2009-02-03
City Administrator/Deputy Mayor,-1340.77,2009-06-23
City Administrator/Deputy Mayor,258.81,2009-04-20
City Administrator/Deputy Mayor,-570.54,2009-06-22
City Administrator/Deputy Mayor,975.83,2009-03-27
City Administrator/Deputy Mayor,-853.92,2009-08-21
City Administrator/Deputy Mayor,530.24,2009-02-26
City Administrator/Deputy Mayor,-40.44,2009-05-06
City Administrator/Deputy Mayor,1176.54,2009-07-01
City Administrator/Deputy Mayor,484.58,2009-09-07
City Administrator/Deputy Mayor,767.0,2009-08-19
City Administrator/Deputy Mayor,2283.4,2009-03-16
City Administrator/Deputy Mayor,1724.68,2009-08-31
City Administrator/Deputy Mayor,1874.98,2009-11-23
City Administrator/Deputy Mayor,1375.37,2009-02-21
City Administrator/Deputy Mayor,978.99,2009-05-15
City Administrator/Deputy Mayor,1276.05,2009-06-12
City Administrator/Deputy Mayor,-374.0,2008-10-10
City Administrator/Deputy Mayor,1951.76,2009-06-24
City Administrator/Deputy Mayor,-336.01,2009-03-01
City Administrator/Deputy Mayor,2209.23,2009-08-03
City Administrator/Deputy Mayor,1467.94,2009-09-09
City Administrator/Deputy Mayor,325.07,2009-07-14
City Administrator/Deputy Mayor,441.78,2009-09-07
City Administrator/Deputy Mayor,1251.59,2009-08-04
City Administrator/Deputy Mayor,1578.18,2009-09-16
City Administrator/Deputy Mayor,1296.63,2009-03-03
City Administrator/Deputy Mayor,-392.95,2009-04-06
City Administrator/Deputy Mayor,3039.87,2009-08-06
City Administrator/Deputy Mayor,-186.32,2009-05-07
City Administrator/Deputy Mayor,1174.93,2009-08-28
City Administrator/Deputy Mayor,1995.79,2009-05-02
City Administrator/Deputy Mayor,-624.75,2009-08-15
City Administrator/Deputy Mayor,431.61,2009-05-04
City Administrator/Deputy Mayor,1274.1,2009-02-18
City Administrator/Deputy Mayor,486.55,2009-11-03
City Administrator/Deputy Mayor,2150.99,2009-09-13
City Administrator/Deputy Mayor,-459.47,2009-06-24
City Administrator/Deputy Mayor,754.38,2009-09-22
City Administrator/Deputy Mayor,1404.95,2009-03-21
City Administrator/Deputy Mayor,73.16,2009-04-03
City Administrator/Deputy Mayor,661.77,2009-08-06
City Administrator/Deputy Mayor,-728.23,2009-07-07
City Administrator/Deputy Mayor,159.02,2009-05-08
City Administrator/Deputy Mayor,2256.86,2009-05-29
City Administrator/Deputy Mayor,976.59,2008-12-03
City Administrator/Deputy Mayor,557.94,2009-08-03
City Administrator/Deputy Mayor,233.61,2008-12-23
City Administrator/Deputy Mayor,1722.39,2009-03-20
City Administrator/Deputy Mayor,42.91,2009-11-10
City Administrator/Deputy Mayor,-331.08,2009-11-10
City Administrator/Deputy Mayor,569.71,2009-09-05
City Administrator/Deputy Mayor,453.61,2009-11-22
City Administrator/Deputy Mayor,242.52,2009-09-11
City Administrator/Deputy Mayor,878.37,2009-02-02
City Administrator/Deputy Mayor,688.85,2009-05-17
City Administrator/Deputy Mayor,532.26,2009-05-05
City Administrator/Deputy Mayor,-837.29,2009-07-20
City Administrator/Deputy Mayor,1170.35,2009-07-15
City Administrator/Deputy Mayor,1257.18,2009-06-27
City Administrator/Deputy Mayor,439.87,2009-04-30
City Administrator/Deputy Mayor,450.94,2009-02-03
City Administrator/Deputy Mayor,165.6,2009-08-08
City Administrator/Deputy Mayor,869.57,2009-07-08
City Administrator/Deputy Mayor,875.2,2009-04-11
City Administrator/Deputy Mayor,823.63,2009-01-29
City Administrator/Deputy Mayor,886.84,2009-08-23
City Administrator/Deputy Mayor,679.74,2009-02-26
City Administrator/Deputy Mayor,146.51,2009-05-01
City Administrator/Deputy Mayor,1149.67,2009-03-26
City Administrator/Deputy Mayor,627.14,2009-06-06
City Administrator/Deputy Mayor,1136.95,2009-06-27
City Administrator/Deputy Mayor,130.55,2009-06-02
City Administrator/Deputy Mayor,-556.11,2009-01-30
City Administrator/Deputy Mayor,1425.39,2009-07-31
City Administrator/Deputy Mayor,1361.8,2009-06-27
City Administrator/Deputy Mayor,-1807.62,2009-09-19
City Administrator/Deputy Mayor,-469.63,2009-07-17
City Administrator/Deputy Mayor,2048.04,2009-12-24
City Administrator/Deputy Mayor,-468.45,2009-01-17
City Administrator/Deputy Mayor,840.33,2009-11-19
City Administrator/Deputy Mayor,1152.64,2009-09-03
City Administrator/Deputy Mayor,763.58,2009-06-23
City Administrator/Deputy Mayor,1715.99,2009-01-03
City Administrator/Deputy Mayor,238.38,2009-12-01
City Administrator/Deputy Mayor,1074.86,2009-06-05
City Administrator/Deputy Mayor,1709.78,2009-05-06
City Administrator/Deputy Mayor,349.78,2009-03-28
City Administrator/Deputy Mayor,900.63,2009-07-25
City Administrator/Deputy Mayor,-1162.77,2009-04-12
City Administrator/Deputy Mayor,985.65,2009-03-27
City Administrator/Deputy Mayor,2368.0,2009-06-01
City Administrator/Deputy Mayor,-16.65,2009-11-15
City Administrator/Deputy Mayor,-454.55,2009-09-13
City Administrator/Deputy Mayor,1209.96,2009-03-22
City Administrator/Deputy Mayor,1677.9,2009-11-04
City Administrator/Deputy Mayor,3139.74,2008-12-13
City Administrator/Deputy Mayor,1585.15,2009-08-06
City Administrator/Deputy Mayor,-1606.71,2009-09-18
City Administrator/Deputy Mayor,-49.84,2009-08-01
City Administrator/Deputy Mayor,64.64,2009-06-08
City Administrator/Deputy Mayor,1935.04,2009-08-25
City Administrator/Deputy Mayor,1654.49,2009-05-10
City Administrator/Deputy Mayor,2893.14,2009-02-08
City Administrator/Deputy Mayor,658.01,2009-08-15
City Administrator/Deputy Mayor,198.48,2009-03-14
City Administrator/Deputy Mayor,-1336.87,2009-05-15
City Administrator/Deputy Mayor,1533.19,2009-10-25
City Administrator/Deputy Mayor,570.55,2010-04-23
City Administrator/Deputy Mayor,334.38,2008-12-26
City Administrator/Deputy Mayor,2223.68,2009-08-01
City Administrator/Deputy Mayor,1872.92,2009-09-08
City Administrator/Deputy Mayor,1204.65,2009-10-27
City Administrator/Deputy Mayor,1797.81,2009-05-12
City Administrator/Deputy Mayor,1813.55,2009-03-15
City Administrator/Deputy Mayor,711.86,2009-03-27
City Administrator/Deputy Mayor,-1454.47,2009-10-15
City Administrator/Deputy Mayor,491.61,2009-10-10
City Administrator/Deputy Mayor,363.45,2008-12-11
City Administrator/Deputy Mayor,1149.33,2009-02-18
City Administrator/Deputy Mayor,-71.04,2009-08-23
City Administrator/Deputy Mayor,1080.42,2008-10-04
City Administrator/Deputy Mayor,1309.66,2009-07-23
City Administrator/Deputy Mayor,1357.74,2010-02-09
City Administrator/Deputy Mayor,513.3,2009-09-04
City Administrator/Deputy Mayor,906.88,2009-03-31
City Administrator/Deputy Mayor,1439.29,2008-12-27
City Administrator/Deputy Mayor,1304.0,2009-02-15
City Administrator/Deputy Mayor,1845.16,2009-02-09
City Administrator/Deputy Mayor,637.2,2009-10-04
City Administrator/Deputy Mayor,-517.32,2009-05-12
City Administrator/Deputy Mayor,524.81,2009-04-05
City Administrator/Deputy Mayor,1221.57,2009-01-07
City Administrator/Deputy Mayor,855.89,2009-09-28
City Administrator/Deputy Mayor,517.49,2009-09-07
City Administrator/Deputy Mayor,796.37,2009-04-25
City Administrator/Deputy Mayor,656.55,2009-05-14
City Administrator/Deputy Mayor,-460.92,2009-06-08
City Administrator/Deputy Mayor,1935.05,2009-05-27
City Administrator/Deputy Mayor,1525.77,2009-10-28
City Administrator/Deputy Mayor,1125.02,2009-01-10
City Administrator/Deputy Mayor,-847.89,2009-03-02
City Administrator/Deputy Mayor,974.22,2009-09-20
City Administrator/Deputy Mayor,580.21,2009-08-23
City Administrator/Deputy Mayor,690.21,2008-11-07
City Administrator/Deputy Mayor,1376.54,2009-07-08
City Administrator/Deputy Mayor,1716.71,2009-10-11
City Administrator/Deputy Mayor,2001.52,2009-10-16
City Administrator/Deputy Mayor,1245.34,2009-09-09
City Administrator/Deputy Mayor,388.13,2009-07-16
City Administrator/Deputy Mayor,1197.15,2009-03-26
City Administrator/Deputy Mayor,-152.77,2009-10-31
City Administrator/Deputy Mayor,952.49,2009-03-30
City Administrator/Deputy Mayor,-109.87,2009-07-06
City Administrator/Deputy Mayor,-120.78,2009-03-06
City Administrator/Deputy Mayor,151.42,2009-04-17
City Administrator/Deputy Mayor,572.77,2009-05-03
City Administrator/Deputy Mayor,-358.29,2009-03-06
City Administrator/Deputy Mayor,2258.25,2009-03-19
City Administrator/Deputy Mayor,-651.04,2009-06-01
City Administrator/Deputy Mayor,537.93,2009-08-06
City Administrator/Deputy Mayor,1676.51,2009-07-24
City Administrator/Deputy Mayor,-121.37,2009-09-26
City Administrator/Deputy Mayor,634.43,2009-05-17
City Administrator/Deputy Mayor,435.15,2008-12-11
City Administrator/Deputy Mayor,816.55,2009-08-14
City Administrator/Deputy Mayor,1630.26,2009-07-09
City Administrator/Deputy Mayor,624.07,2009-05-31
City Administrator/Deputy Mayor,1214.55,2009-12-18
City Administrator/Deputy Mayor,921.43,2009-07-16
City Administrator/Deputy Mayor,-767.29,2009-08-24
City Administrator/Deputy Mayor,895.07,2009-07-21
City Administrator/Deputy Mayor,1167.77,2009-03-26
City Administrator/Deputy Mayor,547.62,2009-07-06
City Administrator/Deputy Mayor,-330.97,2009-08-03
City Administrator/Deputy Mayor,-127.69,2009-08-26
City Administrator/Deputy Mayor,1805.32,2009-09-22
City Administrator/Deputy Mayor,1930.4,2009-04-19
City Administrator/Deputy Mayor,2401.53,2009-08-06
City Administrator/Deputy Mayor,2080.36,2009-10-11
City Administrator/Deputy Mayor,1657.21,2009-11-10
City Administrator/Deputy Mayor,-1017.64,2009-05-20
City Administrator/Deputy Mayor,1613.44,2009-02-08
City Administrator/Deputy Mayor,908.86,2010-02-07
City Administrator/Deputy Mayor,2530.62,2009-01-01
City Administrator/Deputy Mayor,3465.41,2009-07-22
City Administrator/Deputy Mayor,652.2,2009-07-15
City Administrator/Deputy Mayor,1595.21,2009-05-31
City Administrator/Deputy Mayor,192.23,2009-09-13
City Administrator/Deputy Mayor,1323.24,2009-08-27
City Administrator/Deputy Mayor,-346.66,2009-01-25
City Administrator/Deputy Mayor,-179.83,2008-12-20
City Administrator/Deputy Mayor,1217.25,2009-06-17
City Administrator/Deputy Mayor,2125.13,2009-02-21
City Administrator/Deputy Mayor,-146.87,2009-05-25
City Administrator/Deputy Mayor,277.06,2009-10-22
City Administrator/Deputy Mayor,1765.28,2009-02-14
City Administrator/Deputy Mayor,1552.25,2009-05-05
City Administrator/Deputy Mayor,-748.94,2009-05-03
City Administrator/Deputy Mayor,-417.94,2009-05-29
City Administrator/Deputy Mayor,-210.2,2009-07-30
City Administrator/Deputy Mayor,575.33,2009-04-03
City Administrator/Deputy Mayor,909.52,2009-07-16
City Administrator/Deputy Mayor,483.81,2009-05-31
City Administrator/Deputy Mayor,535.59,2009-10-05
City Administrator/Deputy Mayor,1124.19,2009-01-28
City Administrator/Deputy Mayor,-116.11,2009-01-19
City Administrator/Deputy Mayor,-1362.01,2009-09-03
City Administrator/Deputy Mayor,1095.18,2009-02-25
City Administrator/Deputy Mayor,-553.6,2009-04-15
City Administrator/Deputy Mayor,-438.76,2009-09-01
City Administrator/Deputy Mayor,-734.26,2009-08-06
City Administrator/Deputy Mayor,-772.01,2009-06-25
City Administrator/Deputy Mayor,73.88,2009-04-19
City Administrator/Deputy Mayor,2022.45,2009-09-03
City Administrator/Deputy Mayor,1135.11,2009-09-02
City Administrator/Deputy Mayor,2644.59,2009-05-28
City Administrator/Deputy Mayor,2436.4,2009-05-09
City Administrator/Deputy Mayor,857.19,2009-08-06
City Administrator/Deputy Mayor,-963.92,2009-10-22
City Administrator/Deputy Mayor,-208.49,2009-02-28
City Administrator/Deputy Mayor,-289.03,2009-04-17
City Administrator/Deputy Mayor,-814.78,2009-05-21
City Administrator/Deputy Mayor,-27.75,2009-04-15
City Administrator/Deputy Mayor,-739.43,2009-04-20
City Administrator/Deputy Mayor,2440.54,2009-03-10
City Administrator/Deputy Mayor,-190.23,2009-08-15
City Administrator/Deputy Mayor,2093.9,2009-12-17
City Administrator/Deputy Mayor,788.74,2009-05-05
City Administrator/Deputy Mayor,1782.58,2009-05-27
City Administrator/Deputy Mayor,-1119.67,2009-02-06
City Administrator/Deputy Mayor,555.0,2009-11-21
City Administrator/Deputy Mayor,1191.62,2009-03-03
City Administrator/Deputy Mayor,1245.55,2009-06-05
City Administrator/Deputy Mayor,324.87,2009-05-17
City Administrator/Deputy Mayor,1001.68,2009-06-18
City Administrator/Deputy Mayor,994.18,2009-05-07
City Administrator/Deputy Mayor,213.52,2009-05-11
City Administrator/Deputy Mayor,1640.05,2010-02-17
City Administrator/Deputy Mayor,-209.27,2009-07-16
City Administrator/Deputy Mayor,1680.03,2009-06-19
City Administrator/Deputy Mayor,2598.04,2008-12-24
City Administrator/Deputy Mayor,-58.96,2009-05-06
City Administrator/Deputy Mayor,1283.28,2009-01-21
City Administrator/Deputy Mayor,702.08,2009-03-16
City Administrator/Deputy Mayor,1155.7,2009-01-23
City Administrator/Deputy Mayor,777.64,2009-09-22
City Administrator/Deputy Mayor,2866.68,2009-08-31
City Administrator/Deputy Mayor,1717.31,2009-04-17
City Administrator/Deputy Mayor,483.66,2009-07-19
City Administrator/Deputy Mayor,178.32,2009-03-10
City Administrator/Deputy Mayor,1.94,2009-09-05
City Administrator/Deputy Mayor,437.48,2009-11-26
City Administrator/Deputy Mayor,583.09,2009-03-25
City Administrator/Deputy Mayor,1513.24,2009-05-04
City Administrator/Deputy Mayor,-918.7,2009-08-14
City Administrator/Deputy Mayor,596.88,2009-03-19
City Administrator/Deputy Mayor,1206.07,2009-05-23
City Administrator/Deputy Mayor,454.51,2009-10-15
City Administrator/Deputy Mayor,-384.61,2009-04-02
City Administrator/Deputy Mayor,-768.19,2009-08-13
City Administrator/Deputy Mayor,-232.89,2009-05-15
City Administrator/Deputy Mayor,186.87,2009-07-27
City Administrator/Deputy Mayor,-543.62,2009-05-22
City Administrator/Deputy Mayor,-209.85,2009-03-17
City Administrator/Deputy Mayor,-19.83,2009-07-27
City Administrator/Deputy Mayor,160.18,2010-02-24
City Administrator/Deputy Mayor,632.52,2009-02-23
City Administrator/Deputy Mayor,358.69,2009-06-29
City Administrator/Deputy Mayor,-111.03,2009-07-27
City Administrator/Deputy Mayor,952.86,2009-08-16
City Administrator/Deputy Mayor,1363.86,2009-11-22
City Administrator/Deputy Mayor,1094.52,2009-07-15
City Administrator/Deputy Mayor,353.68,2009-04-23
City Administrator/Deputy Mayor,1334.11,2009-06-19
City Administrator/Deputy Mayor,1072.72,2009-02-04
City Administrator/Deputy Mayor,772.11,2009-04-27
City Administrator/Deputy Mayor,-2423.12,2009-07-24
City Administrator/Deputy Mayor,183.64,2009-07-02
City Administrator/Deputy Mayor,1374.39,2009-08-13
City Administrator/Deputy Mayor,-340.65,2009-03-13
City Administrator/Deputy Mayor,3561.69,2009-07-15
City Administrator/Deputy Mayor,863.94,2009-06-05
City Administrator/Deputy Mayor,226.06,2009-05-23
City Administrator/Deputy Mayor,689.14,2009-03-22
City Administrator/Deputy Mayor,2089.22,2008-12-05
City Administrator/Deputy Mayor,1663.57,2009-06-27
City Administrator/Deputy Mayor,242.08,2009-07-18
City Administrator/Deputy Mayor,-146.73,2009-06-02
City Administrator/Deputy Mayor,1090.7,2009-07-14
City Administrator/Deputy Mayor,-556.29,2009-07-28
City Administrator/Deputy Mayor,2213.09,2009-05-07
City Administrator/Deputy Mayor,1678.6,2009-06-14
City Administrator/Deputy Mayor,533.71,2009-08-15
City Administrator/Deputy Mayor,-37.23,2009-04-01
City Administrator/Deputy Mayor,-416.61,2009-08-17
City Administrator/Deputy Mayor,1191.26,2009-05-15
City Administrator/Deputy Mayor,1470.27,2009-09-16
City Administrator/Deputy Mayor,2554.88,2009-04-06
City Administrator/Deputy Mayor,784.17,2009-03-21
City Administrator/Deputy Mayor,1178.37,2009-07-04
City Administrator/Deputy Mayor,594.01,2009-07-05
City Administrator/Deputy Mayor,867.78,2009-07-28
City Administrator/Deputy Mayor,1344.43,2009-01-05
City Administrator/Deputy Mayor,200.42,2009-09-19
City Administrator/Deputy Mayor,1154.14,2009-11-07
City Administrator/Deputy Mayor,-4.95,2009-10-29
City Administrator/Deputy Mayor,588.87,2009-03-10
City Administrator/Deputy Mayor,449.44,2009-09-16
City Administrator/Deputy Mayor,1292.82,2009-07-16
City Administrator/Deputy Mayor,1220.76,2009-08-09
City Administrator/Deputy Mayor,554.53,2009-07-30
City Administrator/Deputy Mayor,983.03,2009-10-31
City Administrator/Deputy Mayor,1061.44,2009-09-27
City Administrator/Deputy Mayor,1655.98,2009-04-08
City Administrator/Deputy Mayor,2027.06,2009-07-18
City Administrator/Deputy Mayor,1156.8,2008-11-09
City Administrator/Deputy Mayor,-128.12,2009-07-31
City Administrator/Deputy Mayor,438.53,2009-01-06
City Administrator/Deputy Mayor,-863.07,2009-10-21
City Administrator/Deputy Mayor,476.83,2009-03-14
City Administrator/Deputy Mayor,1053.17,2009-11-01
City Administrator/Deputy Mayor,1919.73,2009-06-11
City Administrator/Deputy Mayor,-351.83,2009-08-18
City Administrator/Deputy Mayor,1987.25,2009-07-03
City Administrator/Deputy Mayor,1504.78,2009-05-10
City Administrator/Deputy Mayor,344.5,2009-11-06
City Administrator/Deputy Mayor,1439.84,2009-09-16
City Administrator/Deputy Mayor,931.07,2009-03-11
City Administrator/Deputy Mayor,1038.57,2009-07-29
City Administrator/Deputy Mayor,-523.48,2009-08-25
City Administrator/Deputy Mayor,1081.07,2009-06-03
City Administrator/Deputy Mayor,-494.17,2009-04-05
City Administrator/Deputy Mayor,245.57,2009-11-10
City Administrator/Deputy Mayor,2073.12,2009-07-25
City Administrator/Deputy Mayor,233.55,2009-07-03
City Administrator/Deputy Mayor,1426.51,2009-06-29
City Administrator/Deputy Mayor,1534.1,2009-08-06
City Administrator/Deputy Mayor,-144.06,2009-06-26
City Administrator/Deputy Mayor,1131.98,2010-02-20
City Administrator/Deputy Mayor,177.82,2009-05-17
City Administrator/Deputy Mayor,-26.47,2009-08-12
City Administrator/Deputy Mayor,-105.46,2009-02-01
City Administrator/Deputy Mayor,1357.27,2009-08-02
City Administrator/Deputy Mayor,233.77,2009-07-23
City Administrator/Deputy Mayor,-898.11,2009-06-13
City Administrator/Deputy Mayor,452.31,2009-03-28
City Administrator/Deputy Mayor,631.21,2009-06-12
City Administrator/Deputy Mayor,821.89,2009-04-21
City Administrator/Deputy Mayor,550.79,2009-08-08
City Administrator/Deputy Mayor,703.54,2009-07-24
City Administrator/Deputy Mayor,296.88,2009-07-10
City Administrator/Deputy Mayor,540.66,2009-06-01
City Administrator/Deputy Mayor,970.67,2009-10-04
City Administrator/Deputy Mayor,860.7,2009-08-12
City Administrator/Deputy Mayor,-296.53,2009-07-15
City Administrator/Deputy Mayor,-303.97,2009-02-24
City Administrator/Deputy Mayor,1830.34,2009-05-23
City Administrator/Deputy Mayor,1109.6,2009-09-04
City Administrator/Deputy Mayor,-463.33,2009-04-25
City Administrator/Deputy Mayor,-88.71,2009-05-28
City Administrator/Deputy Mayor,814.91,2009-09-07
City Administrator/Deputy Mayor,697.4,2009-06-13
City Administrator/Deputy Mayor,180.19,2009-09-07
City Administrator/Deputy Mayor,-1089.11,2009-07-15
City Administrator/Deputy Mayor,1017.98,2009-07-12
City Administrator/Deputy Mayor,790.63,2009-03-23
City Administrator/Deputy Mayor,1326.51,2009-04-06
City Administrator/Deputy Mayor,1395.4,2009-11-25
City Administrator/Deputy Mayor,2335.2,2009-10-08
City Administrator/Deputy Mayor,-763.48,2008-12-25
City Administrator/Deputy Mayor,190.2,2009-08-14
City Administrator/Deputy Mayor,843.06,2009-06-05
City Administrator/Deputy Mayor,907.46,2009-10-01
City Administrator/Deputy Mayor,1310.83,2009-05-15
City Administrator/Deputy Mayor,1454.65,2010-03-13
City Administrator/Deputy Mayor,1428.62,2009-06-11
City Administrator/Deputy Mayor,-1285.96,2009-08-11
City Administrator/Deputy Mayor,1270.5,2009-03-18
City Administrator/Deputy Mayor,2675.04,2009-02-06
City Administrator/Deputy Mayor,1304.05,2009-03-19
City Administrator/Deputy Mayor,32.19,2009-09-16
City Administrator/Deputy Mayor,-1119.24,2009-09-26
City Administrator/Deputy Mayor,75.97,2009-02-23
City Administrator/Deputy Mayor,524.53,2009-01-22
City Administrator/Deputy Mayor,496.4,2009-05-29
City Administrator/Deputy Mayor,-426.04,2009-08-28
City Administrator/Deputy Mayor,585.72,2009-06-18
City Administrator/Deputy Mayor,888.2,2009-05-22
City Administrator/Deputy Mayor,3515.82,2009-03-07
City Administrator/Deputy Mayor,2349.17,2009-07-10
City Administrator/Deputy Mayor,210.41,2009-06-07
City Administrator/Deputy Mayor,1578.42,2009-05-02
City Administrator/Deputy Mayor,647.72,2009-08-12
City Administrator/Deputy Mayor,980.35,2009-11-04
City Administrator/Deputy Mayor,723.21,2009-05-28
City Administrator/Deputy Mayor,-172.65,2009-04-09
City Administrator/Deputy Mayor,840.85,2009-08-31
City Administrator/Deputy Mayor,2152.67,2009-02-23
City Administrator/Deputy Mayor,1069.79,2009-06-11
City Administrator/Deputy Mayor,1274.21,2009-09-02
City Administrator/Deputy Mayor,61.51,2009-07-01
City Administrator/Deputy Mayor,-224.68,2009-07-26
City Administrator/Deputy Mayor,233.69,2009-10-09
City Administrator/Deputy Mayor,110.36,2009-03-10
City Administrator/Deputy Mayor,1027.84,2009-07-11
City Administrator/Deputy Mayor,463.72,2009-06-11
City Administrator/Deputy Mayor,-151.58,2008-11-18
City Administrator/Deputy Mayor,1561.39,2009-02-22
City Administrator/Deputy Mayor,-646.7,2009-08-31
City Administrator/Deputy Mayor,368.85,2008-12-17
City Administrator/Deputy Mayor,2318.35,2009-01-16
City Administrator/Deputy Mayor,1581.53,2009-08-01
City Administrator/Deputy Mayor,1165.63,2009-06-02
City Administrator/Deputy Mayor,620.51,2009-04-11
City Administrator/Deputy Mayor,360.15,2009-02-16
City Administrator/Deputy Mayor,-175.43,2009-04-19
City Administrator/Deputy Mayor,127.44,2009-11-07
City Administrator/Deputy Mayor,-248.53,2010-01-09
City Administrator/Deputy Mayor,703.98,2009-10-14
City Administrator/Deputy Mayor,947.48,2009-01-31
City Administrator/Deputy Mayor,-1268.55,2009-04-17
City Administrator/Deputy Mayor,925.87,2009-11-29
City Administrator/Deputy Mayor,254.74,2009-11-24
City Administrator/Deputy Mayor,1151.19,2009-02-14
City Administrator/Deputy Mayor,182.56,2009-11-10
City Administrator/Deputy Mayor,-39.5,2009-09-26
City Administrator/Deputy Mayor,1564.96,2009-04-08
City Administrator/Deputy Mayor,2018.78,2009-08-03
City Administrator/Deputy Mayor,574.17,2009-04-30
City Administrator/Deputy Mayor,2086.94,2009-09-03
City Administrator/Deputy Mayor,-934.67,2009-01-22
City Administrator/Deputy Mayor,521.03,2009-06-20
City Administrator/Deputy Mayor,233.85,2009-10-20
City Administrator/Deputy Mayor,989.34,2009-06-05
City Administrator/Deputy Mayor,996.27,2009-04-14
City Administrator/Deputy Mayor,154.64,2009-12-07
City Administrator/Deputy Mayor,1513.96,2009-01-09
City Administrator/Deputy Mayor,2595.17,2009-06-09
City Administrator/Deputy Mayor,-485.24,2009-07-29
City Administrator/Deputy Mayor,138.56,2009-03-05
City Administrator/Deputy Mayor,672.33,2009-07-02
City Administrator/Deputy Mayor,315.8,2009-03-25
City Administrator/Deputy Mayor,120.86,2009-01-26
City Administrator/Deputy Mayor,2139.11,2009-01-17
City Administrator/Deputy Mayor,1450.56,2009-06-25
City Administrator/Deputy Mayor,1381.12,2009-04-07
City Administrator/Deputy Mayor,517.47,2009-05-30
City Administrator/Deputy Mayor,825.08,2009-03-18
City Administrator/Deputy Mayor,-649.44,2009-06-10
City Administrator/Deputy Mayor,1462.89,2008-12-21
City Administrator/Deputy Mayor,-500.33,2009-02-24
City Administrator/Deputy Mayor,-211.16,2009-03-14
