AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Office of the Chief Financial Officer,259.4,2009-07-14
District Department of Transportation,180.95,2009-06-30
Office of the Chief Medical Examiner,-845.0,2009-07-27
Department of Health,4.75,2009-07-16
Department of Human Services,139.6,2009-01-21
Office of the State Superintendent of Education,-14.72,2009-04-24
District Department of the Environment,950.0,2009-06-18
Department of  Youth Rehabilitation Services,165.0,2009-01-21
Department of  Youth Rehabilitation Services,276.0,2009-05-21
Office of the State Superintendent of Education,470.0,2009-07-24
Office of the Chief Financial Officer,318.0,2009-06-23
Department of Corrections,22.1,2009-03-03
Department of Health,344.0,2009-08-27
Department of Human Services,157.32,2009-01-14
Fire & Emergency Medical Services,775.0,2009-09-05
District Department of the Environment,773.85,2009-02-04
Office of the Mayor,511.85,2009-09-24
Commission on Arts & Humanities,274.91,2009-04-20
Department of Corrections,383.2,2009-12-15
Fire & Emergency Medical Services,25.99,2009-06-15
District Department of Transportation,388.84,2009-03-18
Fire & Emergency Medical Services,107.95,2009-03-06
District Department of Transportation,638.4,2009-10-22
Office of Cable TV,390.8,2009-12-01
Office of the Tenant Advocate,9.35,2009-12-06
Fire & Emergency Medical Services,1044.42,2009-04-01
Department of  Youth Rehabilitation Services,19.99,2009-07-08
Department on Disability Services,151.9,2009-09-14
Office of the State Superintendent of Education,959.74,2009-10-14
University of the District of Columbia,235.0,2009-11-24
District Department of Transportation,846.0,2009-02-11
Metropolitan Police Department,1058.24,2009-05-01
Department of Consumer & Regulatory Affairs,139.99,2009-06-29
Fire & Emergency Medical Services,2976.0,2009-09-24
District Department of the Environment,2204.64,2009-04-07
Department of Property Management,2409.09,2009-03-10
Fire & Emergency Medical Services,65.88,2009-04-30
District Department of Transportation,372.44,2009-04-10
Department of Health,346.98,2009-08-05
DC Department of Human Resources,834.38,2009-03-09
Office of Municipal Planning,27.11,2009-04-29
DC Taxicab Commission,433.0,2009-06-23
Department of Health,632.0,2009-05-06
Department of Public Works,29.99,2009-09-04
Judicial Nomination Commission,99.99,2009-04-28
Metropolitan Police Department,-25.0,2009-05-05
Department of Health,498.75,2009-01-08
Department of Health,1150.0,2009-11-03
Department on Disability Services,710.0,2009-03-30
Fire & Emergency Medical Services,144.32,2009-03-13
Department of  Youth Rehabilitation Services,842.0,2009-02-10
Office of the Chief Financial Officer,220.2,2009-04-06
Department of  Youth Rehabilitation Services,350.0,2009-03-26
District Department of Transportation,89.0,2009-12-21
District Department of the Environment,735.0,2009-03-04
District Department of Transportation,1459.36,2009-09-30
City Administrator/Deputy Mayor,259.88,2009-03-18
District Department of Transportation,-8.91,2009-12-01
Department of Health,22.0,2009-12-02
Department of Health,4.75,2009-02-12
Fire & Emergency Medical Services,50.0,2009-09-24
District Department of the Environment,-310.37,2009-11-23
Office of the Chief Medical Examiner,312.17,2009-09-10
University of the District of Columbia,999.75,2009-11-18
Metropolitan Police Department,7.9,2009-07-25
Department of Health,612.71,2009-12-31
University of the District of Columbia,490.0,2009-11-06
Department of Property Management,429.28,2009-08-22
Office of Community Affairs,625.59,2009-06-11
Metropolitan Police Department,730.0,2009-03-20
Fire & Emergency Medical Services,477.0,2009-12-31
Serve DC,38.08,2009-09-01
Department of Health,57.0,2009-12-23
Office of the Chief Financial Officer,4.37,2009-05-31
Metropolitan Police Department,1271.97,2009-07-27
DC Department of Human Resources,899.55,2009-07-31
City Administrator/Deputy Mayor,84.95,2009-01-15
Department of Health,564.9,2009-12-31
Metropolitan Police Department,311.19,2009-02-20
Fire & Emergency Medical Services,51.82,2009-11-11
Department of Parks & Recreation,2456.24,2009-07-22
Office of the State Superintendent of Education,291.7,2009-04-08
Office of Contracting & Procurement,139.68,2009-04-09
Department of Employment Services,2450.0,2009-07-03
Office of the Inspector General,72.0,2009-03-09
Department of Motor Vehicles,138.24,2009-02-17
"Department of Insurance, Securities & Banking",266.58,2009-02-23
DC Public Library,479.0,2009-09-22
Office of the State Superintendent of Education,213.99,2009-01-09
Office of Municipal Planning,876.93,2009-04-01
Office of Victim Services,26.21,2009-06-25
District Department of Transportation,120.0,2009-01-16
Office of the Chief Financial Officer,108.0,2009-01-26
District Department of Transportation,305.53,2009-07-13
District Department of Transportation,1600.0,2009-04-16
Office on Aging,467.38,2009-04-09
"Department of Insurance, Securities & Banking",315.2,2009-06-03
Office of Disability Rights,318.83,2009-12-21
DC Public Library,2993.6,2009-05-19
Fire & Emergency Medical Services,234.78,2009-10-29
Office of the Chief Financial Officer,178.0,2009-11-26
Office of the Inspector General,350.0,2009-04-26
University of the District of Columbia,42.46,2009-12-18
Department of Public Works,225.0,2009-04-15
Office of the Tenant Advocate,1274.07,2009-06-11
Fire & Emergency Medical Services,24.94,2009-08-18
Fire & Emergency Medical Services,1101.8,2009-05-27
Department on Disability Services,109.45,2009-03-11
Department of Health,1259.0,2009-01-27
Fire & Emergency Medical Services,2970.71,2009-09-30
Office of Victim Services,24.58,2009-06-05
Office of the Mayor,278.34,2009-04-21
Department of Housing & Community Development,2438.3,2009-02-12
Department of Public Works,550.0,2009-04-01
Office of the Chief Medical Examiner,274.95,2009-08-10
Office of Administrative Hearings,1800.0,2009-02-09
Fire & Emergency Medical Services,46.74,2009-05-21
Department on Disability Services,80.0,2009-03-03
Office of the State Superintendent of Education,1945.0,2009-07-02
Office of the Attorney General,613.38,2009-07-20
Department of Public Works,125.78,2009-04-03
Department on Disability Services,190.6,2009-08-17
Metropolitan Police Department,497.65,2009-03-09
Metropolitan Police Department,617.0,2009-10-08
Office of the Chief Technology Officer,969.4,2009-09-23
DC Public Library,904.6,2009-06-19
Office of Municipal Planning,450.0,2009-11-18
Department of Property Management,263.6,2009-08-18
Department of Consumer & Regulatory Affairs,-23.15,2009-08-02
District Department of Transportation,96.8,2009-09-02
Fire & Emergency Medical Services,1278.74,2009-05-07
Office of the Chief Financial Officer,80.95,2009-08-26
District Department of Transportation,780.0,2009-06-30
Child & Family Services Administration,450.0,2009-11-19
Office of the Chief Medical Examiner,695.0,2009-09-15
Department of Housing & Community Development,818.07,2009-08-06
Office of Human Rights,-166.89,2009-08-24
District Department of Transportation,468.28,2009-04-23
Metropolitan Police Department,30.63,2009-12-22
Office of the Mayor,-51.6,2009-12-09
Fire & Emergency Medical Services,59.96,2009-12-21
Department of Health,450.0,2009-06-05
DC Public Library,106.1,2009-05-19
Metropolitan Police Department,23.48,2009-12-20
Department of  Youth Rehabilitation Services,50.0,2009-03-31
Office of the Chief Financial Officer,100.0,2009-01-23
Department of Health,4.75,2009-03-03
Fire & Emergency Medical Services,449.9,2009-12-11
Department of  Youth Rehabilitation Services,110.47,2009-06-01
Office of Human Rights,252.0,2009-05-21
District Department of Transportation,679.32,2009-05-21
Department of Health,50.0,2009-04-01
Department of Consumer & Regulatory Affairs,317.24,2009-03-17
Metropolitan Police Department,497.65,2009-03-09
Metropolitan Police Department,1000.0,2009-10-16
Department of Health,4.75,2009-07-24
Department of  Youth Rehabilitation Services,230.0,2009-05-05
Fire & Emergency Medical Services,60.78,2009-11-12
DC Department of Human Resources,424.0,2009-04-15
Criminal Justice Coordinating Council,1644.0,2009-08-14
Department on Disability Services,191.0,2009-06-10
District Department of Transportation,4559.48,2009-03-12
Metropolitan Police Department,4.43,2009-09-19
District Department of the Environment,26.57,2009-10-08
Office of the Chief Technology Officer,1076.38,2009-07-09
Department of Education,100.0,2009-04-22
Department of  Youth Rehabilitation Services,454.45,2009-11-25
Office of Administrative Hearings,477.5,2009-01-28
Department of  Youth Rehabilitation Services,2237.27,2009-09-22
Department of  Youth Rehabilitation Services,2799.2,2009-07-31
Department of Human Services,565.55,2009-09-19
Fire & Emergency Medical Services,59.98,2009-09-02
Department of Corrections,30.0,2009-12-10
Office of the Inspector General,42.99,2009-08-15
Department of  Youth Rehabilitation Services,8.11,2009-12-18
Department on Disability Services,184.2,2009-12-10
Fire & Emergency Medical Services,156.28,2009-09-23
Office of the Tenant Advocate,2015.0,2009-10-28
Department of Public Works,999.98,2009-07-07
Office of the Tenant Advocate,1454.0,2009-11-06
Department of Employment Services,2270.0,2009-08-06
Office of the State Superintendent of Education,270.4,2009-02-05
Department of Mental Health,615.21,2009-02-02
Department of Human Services,494.85,2009-06-29
Metropolitan Police Department,1500.0,2009-08-12
District Department of Transportation,5.29,2009-07-04
Department of Consumer & Regulatory Affairs,94.0,2009-08-26
University of the District of Columbia,15.47,2009-08-30
Department on Disability Services,63.6,2009-07-17
District Department of the Environment,9.0,2009-07-05
Department of Human Services,474.0,2009-04-01
Department of  Youth Rehabilitation Services,17.5,2009-05-07
Office of Contracting & Procurement,128.04,2009-08-03
Department of Health,1120.0,2009-07-20
Fire & Emergency Medical Services,168.37,2009-02-07
Commission on Arts & Humanities,40.28,2009-04-03
Office of the Chief Technology Officer,51.8,2009-12-16
Office of the Chief Financial Officer,84.99,2009-01-05
Department of Health,43.5,2009-06-19
Department of Health,4.75,2009-02-12
District Department of the Environment,956.67,2009-06-18
Department of Health,9.35,2009-12-06
University of the District of Columbia,65.26,2009-12-16
Department of Corrections,86.9,2009-10-19
Department of Mental Health,48.0,2009-02-19
Department of Corrections,150.0,2009-09-25
Department of Health,4.75,2009-01-15
Department of Public Works,360.95,2009-06-23
Department of Health,4.75,2009-01-08
Contract Appeals Board,503.4,2009-09-03
Metropolitan Police Department,1721.54,2009-09-18
Department of Corrections,636.6,2009-02-04
DC National Guard,455.0,2009-09-24
Office of Municipal Planning,214.0,2009-04-29
Department of Property Management,799.0,2009-09-16
District Department of Transportation,1495.0,2009-08-31
District Department of Transportation,140.0,2009-03-04
Department of Health,902.96,2009-06-04
Department of Public Works,6.99,2009-03-25
Department of Employment Services,106.47,2009-08-17
Metropolitan Police Department,1740.24,2009-09-11
Department of Employment Services,102.48,2009-02-13
Office of the Tenant Advocate,1245.23,2009-06-01
District Department of Transportation,247.81,2009-03-24
Metropolitan Police Department,3110.0,2009-07-23
Department of  Youth Rehabilitation Services,111.6,2009-05-21
District Department of the Environment,396.0,2009-04-30
Office of the State Superintendent of Education,270.4,2009-02-05
Fire & Emergency Medical Services,96.69,2009-11-05
Department of  Youth Rehabilitation Services,356.4,2009-06-19
Fire & Emergency Medical Services,-189.72,2009-03-04
Department of Public Works,300.0,2009-09-18
Office of Victim Services,20.86,2009-05-17
DC Department of Human Resources,206.0,2009-03-24
Department of Health,1987.0,2009-09-01
Office of the State Superintendent of Education,-18.85,2009-11-19
Metropolitan Police Department,71.98,2009-08-31
Office of the Tenant Advocate,72.72,2009-07-30
Department on Disability Services,147.61,2009-03-27
Fire & Emergency Medical Services,83.4,2009-07-14
Office of the Inspector General,432.44,2009-09-14
Department of Parks & Recreation,4800.0,2009-07-02
Office of the Tenant Advocate,1834.0,2009-09-22
Office of the Tenant Advocate,1463.0,2009-06-11
Department of Corrections,28.87,2009-11-19
Department of Human Services,9.84,2009-03-22
Metropolitan Police Department,212.6,2009-07-27
Office of the State Superintendent of Education,1175.25,2009-09-19
Office of Contracting & Procurement,74.02,2009-07-09
Department of Health,4.75,2009-12-22
City Administrator/Deputy Mayor,90.19,2009-09-09
Office of Cable TV,970.0,2009-01-06
Department on Disability Services,737.29,2009-04-02
Office of the Chief Financial Officer,-10.0,2009-04-30
Department of Motor Vehicles,190.0,2009-04-01
Department of Motor Vehicles,30.0,2009-03-26
Department of Health Care Finance,41.16,2009-07-24
Fire & Emergency Medical Services,30.68,2009-11-03
Office of the Chief Financial Officer,375.0,2009-12-17
Office of the State Superintendent of Education,314.2,2009-07-23
Department of Health,912.75,2009-01-08
Metropolitan Police Department,438.0,2009-05-15
Office of Community Affairs,1957.82,2009-06-11
Office of Public Educational Facilities Modernization,462.0,2009-06-26
Office of the State Superintendent of Education,787.27,2009-02-18
Metropolitan Police Department,233.07,2009-08-28
DC Department of Human Resources,549.83,2009-11-17
University of the District of Columbia,219.24,2009-12-23
Department of Housing & Community Development,2048.0,2009-03-23
DC Public Library,42.99,2009-10-11
Department on Disability Services,839.21,2009-10-07
Office of Cable TV,59.7,2009-08-17
Office of the Chief Technology Officer,185.0,2009-05-14
Office of the Attorney General,1586.55,2009-10-06
Department on Disability Services,282.9,2009-09-15
Serve DC,392.2,2009-11-17
Department of Health,255.0,2009-03-10
Department of Health,54.0,2009-08-15
DC National Guard,219.0,2009-11-25
Serve DC,1454.0,2009-09-19
Office of the Chief Financial Officer,128.0,2009-06-18
Office of Contracting & Procurement,688.28,2009-06-23
Department on Disability Services,282.0,2009-12-07
Office of the Inspector General,541.65,2009-07-09
DC Public Library,109.55,2009-12-12
Department of Corrections,55.6,2009-05-28
Department of Health,617.36,2009-09-09
Deputy Mayor for Economic Development,1199.95,2009-07-06
Fire & Emergency Medical Services,2450.0,2009-05-25
Department of Parks & Recreation,197.73,2009-09-21
Child & Family Services Administration,248.2,2009-11-13
Serve DC,460.0,2009-04-30
Department of Health Care Finance,16.3,2009-03-10
Department of Health,275.49,2009-08-21
Department of Corrections,1743.5,2009-02-04
Office of the State Superintendent of Education,682.36,2009-07-10
Metropolitan Police Department,44.27,2009-07-25
Fire & Emergency Medical Services,612.0,2009-10-20
Department of  Youth Rehabilitation Services,195.52,2009-11-11
Metropolitan Police Department,600.0,2009-06-30
Office of the State Superintendent of Education,91.75,2009-04-20
District Department of Transportation,97.98,2009-02-23
Fire & Emergency Medical Services,18.0,2009-02-25
Department of  Youth Rehabilitation Services,183.96,2009-11-18
Office of Disability Rights,150.0,2009-06-01
Office of the Chief Financial Officer,149.0,2009-04-30
Child & Family Services Administration,79.0,2009-11-19
Office of the Chief Financial Officer,550.0,2009-09-16
Department on Disability Services,108.96,2009-12-16
Department of Corrections,250.39,2009-01-10
District Department of Transportation,-9.95,2009-03-31
Fire & Emergency Medical Services,31.85,2009-01-24
District Department of the Environment,505.7,2009-10-15
Fire & Emergency Medical Services,2951.1,2009-09-18
Department of Mental Health,190.0,2009-07-28
Department of Motor Vehicles,-70.58,2009-03-05
Department of Motor Vehicles,710.0,2009-09-25
District Department of the Environment,2476.5,2009-08-31
Department of Consumer & Regulatory Affairs,90.73,2009-06-26
Fire & Emergency Medical Services,238.07,2009-09-26
Department of Health,586.96,2009-06-11
Department of  Youth Rehabilitation Services,1800.0,2009-05-18
Department of Human Services,119.76,2009-12-21
Department of Health,420.69,2009-06-04
Department of Employment Services,920.0,2009-11-05
Metropolitan Police Department,48.0,2009-09-02
Department of Corrections,325.0,2009-11-18
District Department of Transportation,805.52,2009-03-08
Department of Motor Vehicles,54.0,2009-01-12
Department on Disability Services,16.71,2009-07-20
Fire & Emergency Medical Services,2823.0,2009-09-10
Department of Employment Services,60.94,2009-02-18
Department of Health Care Finance,1009.3,2009-11-18
Department of Consumer & Regulatory Affairs,454.0,2009-06-09
Department of Corrections,119.0,2009-08-06
Fire & Emergency Medical Services,366.41,2009-01-12
University of the District of Columbia,117.0,2009-10-22
Metropolitan Police Department,197.26,2009-01-16
Fire & Emergency Medical Services,69.62,2009-02-18
Department on Disability Services,275.2,2009-07-02
Fire & Emergency Medical Services,68.0,2009-09-16
Fire & Emergency Medical Services,249.75,2009-11-20
Department of Corrections,276.34,2009-09-14
Office of the Chief Financial Officer,54.0,2009-09-03
Office of the State Superintendent of Education,536.8,2009-09-30
Metropolitan Police Department,575.0,2009-05-08
District Department of the Environment,2100.0,2009-10-09
Metropolitan Police Department,150.0,2009-12-22
District Department of the Environment,411.6,2009-05-28
District Department of the Environment,275.0,2009-11-19
Office of Public Educational Facilities Modernization,1600.0,2009-06-09
DC National Guard,166.89,2009-08-18
Fire & Emergency Medical Services,37.57,2009-07-01
District Department of Transportation,316.5,2009-07-15
Department of Public Works,1167.15,2009-06-23
Office of Partnership & Grant Services,49.0,2009-03-02
Office of the Tenant Advocate,399.55,2009-07-07
Office of the State Superintendent of Education,645.0,2009-12-24
Department on Disability Services,394.99,2009-09-30
Board of Elections & Ethics,182.71,2009-12-02
Office of the Chief Financial Officer,50.5,2009-08-20
District Department of Transportation,155.25,2009-04-23
Department of Health,25.65,2009-07-13
Department of Property Management,30.0,2009-03-26
Department of Corrections,1238.45,2009-12-03
Department of  Youth Rehabilitation Services,500.0,2009-04-22
Child & Family Services Administration,10.27,2009-11-04
Office of the Chief Financial Officer,245.0,2009-06-17
Department of Housing & Community Development,58.52,2009-07-23
Department of Property Management,22.55,2009-05-31
Office of the Attorney General,-36.0,2009-06-09
Commission of Judicial Disabilities & Tenure,117.69,2009-05-11
Department of Employment Services,1695.0,2009-02-19
Office of the Chief Financial Officer,710.0,2009-01-13
Office of the Attorney General,72.62,2009-06-13
Fire & Emergency Medical Services,371.0,2009-06-12
Department of  Youth Rehabilitation Services,413.8,2009-03-24
Office of the Chief Technology Officer,9.12,2009-12-30
Department of Motor Vehicles,-98.2,2009-07-09
Fire & Emergency Medical Services,2940.0,2009-09-25
Department of Health,154.99,2009-03-11
Department of Property Management,2221.57,2009-01-13
Office of the State Superintendent of Education,281.58,2009-03-26
District Department of Transportation,165.86,2009-01-14
Fire & Emergency Medical Services,1125.0,2009-06-03
Department on Disability Services,108.29,2009-08-06
Fire & Emergency Medical Services,85.95,2009-04-02
DC Public Library,760.0,2009-07-27
Metropolitan Police Department,75.44,2009-09-25
Department of Parks & Recreation,245.0,2009-06-10
Department of Health,225.0,2009-01-24
Office of the State Superintendent of Education,50.0,2009-02-26
Department of Human Services,6.99,2009-11-20
Department of Public Works,473.44,2009-10-02
Department on Disability Services,113.85,2009-03-13
Office of the Chief Technology Officer,2112.0,2009-02-11
Board of Elections & Ethics,317.26,2009-02-03
Department on Disability Services,135.99,2009-08-31
Fire & Emergency Medical Services,42.0,2009-01-16
Department of Health,5.31,2009-09-13
Office of the Chief Technology Officer,527.8,2009-02-26
Fire & Emergency Medical Services,2668.8,2009-10-24
Department of Public Works,179.85,2009-09-29
City Administrator/Deputy Mayor,39.8,2009-04-27
Department of Parks & Recreation,549.97,2009-04-30
Office of the State Superintendent of Education,185.3,2009-07-29
DC Public Library,478.3,2009-10-23
District Department of Transportation,311.41,2009-05-29
Department on Disability Services,305.2,2009-07-01
City Administrator/Deputy Mayor,179.35,2009-05-13
Office of the Chief Financial Officer,281.5,2009-04-22
Fire & Emergency Medical Services,95.54,2009-09-16
District Department of Transportation,60.0,2009-12-15
Department of Health,516.0,2009-12-16
Department of Parks & Recreation,25.64,2009-09-20
Metropolitan Police Department,15.0,2009-05-25
Fire & Emergency Medical Services,53.88,2009-03-11
Office of the Chief Financial Officer,43.05,2009-12-23
Office of the Mayor,460.0,2009-12-03
Department of Mental Health,19.95,2009-11-30
Office of the Chief Financial Officer,232.2,2009-08-28
Office of the Chief Financial Officer,233.34,2009-08-12
Fire & Emergency Medical Services,66.0,2009-05-18
Metropolitan Police Department,44.9,2009-09-03
Office of Zoning,51.9,2009-09-17
Department of Public Works,292.5,2009-06-05
Department of Parks & Recreation,19.0,2009-08-13
Board of Elections & Ethics,166.93,2009-09-25
District Department of Transportation,668.0,2009-04-13
District Department of the Environment,121.0,2009-04-22
DC Taxicab Commission,46.0,2009-10-27
District Department of Transportation,377.62,2009-05-08
DC Department of Human Resources,160.0,2009-08-03
Department of Parks & Recreation,50.95,2009-03-20
Department of Motor Vehicles,118.8,2009-04-28
Metropolitan Police Department,2271.06,2009-09-29
Department of Health,1842.4,2009-12-23
Fire & Emergency Medical Services,803.58,2009-12-04
Department of  Youth Rehabilitation Services,451.46,2009-04-23
Department on Disability Services,20.51,2009-11-03
Fire & Emergency Medical Services,425.0,2009-03-17
Board of Elections & Ethics,20.59,2009-04-11
Department of  Youth Rehabilitation Services,126.0,2009-06-30
DC Public Library,619.86,2009-05-21
Office of Community Affairs,2167.0,2009-09-30
Department of Public Works,4946.76,2009-03-19
Criminal Justice Coordinating Council,1327.0,2009-09-15
Metropolitan Police Department,2000.0,2009-09-11
Office of the Chief Medical Examiner,95.0,2009-09-24
Office of Partnership & Grant Services,9.58,2009-05-13
Department of  Youth Rehabilitation Services,547.2,2009-10-15
Department of Mental Health,200.5,2009-09-01
Office of the State Superintendent of Education,526.92,2009-02-05
Deputy Mayor for Economic Development,531.6,2009-06-09
Criminal Justice Coordinating Council,300.0,2009-03-24
Office of the State Superintendent of Education,20.63,2009-07-31
Department of Parks & Recreation,568.0,2009-09-08
Department of Corrections,233.29,2009-03-03
Department of Consumer & Regulatory Affairs,9.0,2009-11-05
Department of Parks & Recreation,1019.45,2009-12-09
District Department of the Environment,2378.23,2009-05-27
Office of the State Superintendent of Education,393.7,2009-05-01
Criminal Justice Coordinating Council,469.62,2009-08-31
Department of Employment Services,199.36,2009-11-11
District Department of the Environment,252.0,2009-05-07
Department of Employment Services,218.0,2009-11-15
Department of Health,130.95,2009-10-23
District Department of Transportation,525.0,2009-07-28
District Department of the Environment,538.0,2009-08-03
Department of Health,40.95,2009-11-09
Department of Property Management,15.0,2009-11-08
Department of Consumer & Regulatory Affairs,407.04,2009-11-16
Department of Public Works,2500.0,2009-06-12
Fire & Emergency Medical Services,109.72,2009-09-24
Department of  Youth Rehabilitation Services,1346.4,2009-11-20
Alcoholic Beverage Regulation Administration,1796.92,2009-10-09
District Department of the Environment,50.0,2009-06-24
Fire & Emergency Medical Services,2500.0,2009-09-23
Office of Community Affairs,89.0,2009-08-03
Department on Disability Services,178.0,2009-12-21
Office on Asian/Pacific Affairs,315.53,2009-12-11
Department of Health,3000.0,2009-01-08
Fire & Emergency Medical Services,39.95,2009-05-29
Department of Health,235.0,2009-12-07
Department on Disability Services,13.23,2009-08-18
Department of Health,200.53,2009-09-23
Office of Victim Services,29.57,2009-10-14
Commission on Arts & Humanities,55.0,2009-01-23
Department of Public Works,791.54,2009-07-21
District Department of Transportation,14.0,2009-08-25
Department of Health,558.0,2009-12-11
Office of Unified Communications,187.99,2009-04-09
District Department of Transportation,102.9,2009-02-23
Office on Aging,1914.1,2009-01-26
Fire & Emergency Medical Services,670.21,2009-02-11
DC Lottery & Charitable Games Control Board,600.0,2009-08-21
"Department of Insurance, Securities & Banking",-2.0,2009-05-01
District Department of Transportation,1134.0,2009-03-30
Commission on Arts & Humanities,21.14,2009-04-07
District Department of the Environment,1484.3,2009-09-03
Office of Motion Pictures & Television,906.8,2009-02-01
District Department of Transportation,160.0,2009-11-18
District Department of the Environment,60.0,2009-06-26
Fire & Emergency Medical Services,339.99,2009-04-22
Office of Community Affairs,200.0,2009-04-13
Department of Employment Services,353.0,2009-02-27
District Department of Transportation,61.5,2009-01-28
Department of Health,367.86,2009-03-24
Office of the Tenant Advocate,-14.49,2009-12-02
Department on Disability Services,420.69,2009-06-04
Metropolitan Police Department,131.0,2009-09-15
University of the District of Columbia,455.8,2009-10-27
Office of the Chief Financial Officer,164.0,2009-12-02
Fire & Emergency Medical Services,370.2,2009-12-16
Office of the State Superintendent of Education,99.83,2009-01-23
"Department of Insurance, Securities & Banking",263.58,2009-06-23
Metropolitan Police Department,330.0,2009-01-13
University of the District of Columbia,156.5,2009-10-30
Department of Health,1015.0,2009-10-19
Fire & Emergency Medical Services,139.41,2009-12-31
Department of Consumer & Regulatory Affairs,132.0,2009-03-24
Metropolitan Police Department,48.0,2009-07-15
Department on Disability Services,30.95,2009-11-20
Department of Health,4.75,2009-02-05
Department of Public Works,15.0,2009-06-25
Office of Motion Pictures & Television,150.0,2009-06-22
Commission on Arts & Humanities,79.0,2009-05-02
District Department of the Environment,100.0,2009-11-19
Metropolitan Police Department,1449.36,2009-01-05
University of the District of Columbia,235.0,2009-11-24
Office of the Tenant Advocate,1453.99,2009-06-11
Office of the State Superintendent of Education,1087.99,2009-07-31
Department of Human Services,15.0,2009-09-23
Office of the Inspector General,232.36,2009-07-15
DC Public Library,389.02,2009-02-25
District Department of Transportation,90.95,2009-05-04
District Department of Transportation,59.58,2009-04-27
District Department of Transportation,551.4,2009-12-18
Department of Health,1125.0,2009-11-24
DC National Guard,352.5,2009-06-19
Alcoholic Beverage Regulation Administration,187.06,2009-07-22
Department of Health,288.0,2009-03-30
Office of the State Superintendent of Education,251.6,2009-02-05
Department of  Youth Rehabilitation Services,47.0,2009-05-15
University of the District of Columbia,1499.25,2009-09-17
Department on Disability Services,310.0,2009-06-30
Fire & Emergency Medical Services,14.0,2009-01-16
Department of  Youth Rehabilitation Services,-79.21,2009-06-05
Office of the Inspector General,473.44,2009-10-02
Department of Employment Services,365.94,2009-06-05
DC Sentencing & Criminal Code Review Committee,700.0,2009-01-26
Department of Public Works,473.0,2009-01-26
District Department of the Environment,137.92,2009-10-27
District Department of Transportation,1017.26,2009-03-29
Department of Property Management,1252.0,2009-10-13
Office of the Mayor,59.83,2009-08-19
Department of Small & Local Business Development,459.66,2009-09-04
District Department of the Environment,50.0,2009-04-08
DC Department of Human Resources,1080.0,2009-03-13
Serve DC,3017.97,2009-08-21
Fire & Emergency Medical Services,209.75,2009-11-09
Serve DC,199.0,2009-03-09
Department of Small & Local Business Development,55.19,2009-06-12
Department on Disability Services,4909.62,2009-09-21
Department of Health,995.0,2009-11-06
Department of Health,95.4,2009-08-25
Department of Human Services,9.99,2009-09-08
Department of Health,8.0,2009-09-15
Office of Administrative Hearings,125.0,2009-05-07
Department of Housing & Community Development,107.67,2009-09-16
Department of  Youth Rehabilitation Services,133.37,2009-11-16
Office of the State Superintendent of Education,60.0,2009-08-24
Department of Health,767.1,2009-02-27
Department on Disability Services,325.0,2009-10-14
District Department of Transportation,402.0,2009-12-03
Office of Human Rights,236.0,2009-04-08
Office of the State Superintendent of Education,-41.98,2009-02-12
Office of the Tenant Advocate,3200.0,2009-12-14
Metropolitan Police Department,403.0,2009-05-27
Department of Housing & Community Development,67.7,2009-07-25
DC Public Library,2983.02,2009-08-11
Office of the Attorney General,285.0,2009-01-22
Office of the State Superintendent of Education,-395.0,2009-11-04
District Department of Transportation,126.75,2009-02-20
Department of Health,57.87,2009-07-23
Department of Education,354.73,2009-06-12
Department of Health,2480.0,2009-12-24
Metropolitan Police Department,18.25,2009-09-07
Department of  Youth Rehabilitation Services,64.95,2009-10-27
Department of Parks & Recreation,1431.81,2009-05-27
Department of Health,245.01,2009-09-01
DC Public Library,43.5,2009-06-19
Fire & Emergency Medical Services,131.12,2009-02-23
District Department of Transportation,62.96,2009-05-26
Department of Corrections,19.99,2009-08-07
City Administrator/Deputy Mayor,527.84,2009-01-09
Office of the Chief Financial Officer,1.92,2009-09-04
Department of  Youth Rehabilitation Services,322.0,2009-05-28
Metropolitan Police Department,177.0,2009-04-01
District Department of the Environment,1299.0,2009-03-20
District Department of Transportation,931.0,2009-08-18
Department of Corrections,167.94,2009-01-08
Office of the Chief Financial Officer,179.0,2009-06-17
DC Public Library,709.96,2009-07-23
Metropolitan Police Department,90.75,2009-03-13
Department of Public Works,1480.82,2009-04-07
Fire & Emergency Medical Services,1121.16,2009-06-13
District Department of the Environment,199.0,2009-05-27
Fire & Emergency Medical Services,1395.0,2009-02-04
Office of Police Complaints,130.0,2009-12-29
Department of Motor Vehicles,39.68,2009-09-14
Office of the Chief Financial Officer,1340.0,2009-02-27
Office of the Chief Financial Officer,250.0,2009-03-09
Fire & Emergency Medical Services,1278.74,2009-05-07
Office of the Tenant Advocate,1462.12,2009-06-11
Department of Health Care Finance,174.31,2009-11-23
Fire & Emergency Medical Services,285.4,2009-08-07
Department of  Youth Rehabilitation Services,55.97,2009-09-11
District Department of Transportation,13.0,2009-05-13
"Department of Insurance, Securities & Banking",63.94,2009-07-14
Department of Public Works,825.0,2009-04-10
Department of Education,105.0,2009-04-22
Fire & Emergency Medical Services,-5.54,2009-08-13
Department of Health,1244.78,2009-09-02
Department of Consumer & Regulatory Affairs,-613.4,2009-12-31
District Department of Transportation,31.73,2009-05-15
Department of Health,4.75,2009-01-09
Serve DC,-572.0,2009-08-21
DC Public Library,48.0,2009-01-27
