AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of Public Works,870.61,2009-11-10
Department of Public Works,2656.29,2009-12-18
Office of the State Superintendent of Education,192.24,2009-07-29
Department of  Youth Rehabilitation Services,331.75,2009-07-19
Office of the State Superintendent of Education,2027.13,2009-08-24
Department of Mental Health,236.62,2009-03-24
Department of Parks & Recreation,1375.78,2009-02-21
Department of Human Services,3272.15,2009-09-23
Office of the Attorney General,809.0,2009-06-08
Office of Municipal Planning,2675.85,2009-09-24
Office of the State Superintendent of Education,1938.82,2009-08-24
Department of Health,2404.6,2009-04-01
DC Public Library,2512.28,2009-08-22
Department on Disability Services,189.37,2009-10-25
Office of the State Superintendent of Education,930.74,2009-08-25
Department of  Youth Rehabilitation Services,2435.55,2009-08-02
Department of Consumer & Regulatory Affairs,2167.15,2009-07-25
Child & Family Services Administration,117.89,2009-10-19
Department of Health,548.18,2009-08-29
Department of Mental Health,34.21,2009-03-28
Department of  Youth Rehabilitation Services,2532.41,2009-08-26
District Department of Transportation,2064.09,2009-10-22
Office of the Chief Financial Officer,321.24,2009-07-27
Department of Public Works,1611.22,2009-03-03
Department of  Youth Rehabilitation Services,699.72,2009-04-17
DC Public Library,574.03,2009-03-12
Department of  Youth Rehabilitation Services,173.03,2009-05-28
Department of Health,771.0,2009-07-10
Office of Municipal Planning,1248.61,2009-09-28
Department of Health,2372.35,2009-07-02
Office of the State Superintendent of Education,291.06,2009-07-11
Department on Disability Services,211.56,2009-07-23
Office of the State Superintendent of Education,779.35,2009-10-17
Department of Employment Services,2026.17,2009-09-19
Office of Human Rights,2198.2,2009-03-25
Department of  Youth Rehabilitation Services,1851.88,2009-09-07
Department of  Youth Rehabilitation Services,310.3,2009-07-05
Office of the State Superintendent of Education,312.39,2009-07-24
Department of Employment Services,602.53,2009-11-20
Office of the State Superintendent of Education,1622.64,2009-09-24
Department on Disability Services,560.18,2009-11-04
Office of Municipal Planning,-417.75,2009-12-29
Office of the State Superintendent of Education,2521.46,2009-01-07
Office of the Secretary,-133.04,2009-10-22
Office of the State Superintendent of Education,303.44,2009-06-26
Department of Health,1166.37,2009-12-30
Department of Public Works,2250.7,2009-08-20
Office of the State Superintendent of Education,147.59,2009-10-23
Department on Disability Services,269.73,2009-07-10
Department of Motor Vehicles,2289.84,2009-08-11
Department of Health,2736.7,2009-01-10
Office of the State Superintendent of Education,606.48,2009-05-18
Serve DC,2471.32,2009-12-08
Department of Health,2069.55,2009-03-04
DC Public Library,545.3,2009-06-10
Department of Health,645.55,2009-10-26
Office of the Secretary,191.0,2009-11-18
Office of the State Superintendent of Education,163.58,2009-07-12
Department of Mental Health,584.53,2009-09-13
Department of Health,23.31,2009-07-03
Office of the State Superintendent of Education,466.73,2009-10-26
Office of the State Superintendent of Education,2408.22,2009-01-09
Office of the State Superintendent of Education,2064.26,2009-09-21
Office of the State Superintendent of Education,212.87,2009-08-03
Department of  Youth Rehabilitation Services,2475.55,2009-03-25
Office of Municipal Planning,1733.37,2009-11-03
DC Department of Human Resources,2901.07,2009-09-16
Office of the State Superintendent of Education,421.08,2009-07-24
Serve DC,1807.96,2009-11-07
Office of the Secretary,313.14,2009-09-22
Office of the State Superintendent of Education,1155.11,2009-09-24
DC Department of Human Resources,2170.45,2009-08-28
Department of  Youth Rehabilitation Services,2081.61,2009-08-26
Department of Health,2170.6,2009-08-01
Department of Health,192.93,2009-07-01
DC Department of Human Resources,-34.21,2009-07-05
Department of  Youth Rehabilitation Services,44.17,2009-07-04
Department of Health,1796.92,2009-02-02
Board of Elections & Ethics,2393.31,2009-07-05
University of the District of Columbia,935.63,2009-09-29
Department of  Youth Rehabilitation Services,691.3,2009-04-05
Department of Mental Health,455.81,2009-11-03
Department on Disability Services,117.35,2009-12-29
Department of Human Services,297.53,2009-03-10
DC Department of Human Resources,512.82,2009-04-30
DC Public Library,2325.68,2009-03-19
Department of  Youth Rehabilitation Services,814.07,2009-07-21
Office of Human Rights,2323.93,2009-10-14
Office of the State Superintendent of Education,2382.85,2009-12-31
Department of Employment Services,1083.77,2009-09-25
Office of the State Superintendent of Education,742.83,2009-11-08
Department of  Youth Rehabilitation Services,994.2,2009-07-03
Department of Property Management,1822.81,2009-09-23
Department of Human Services,2399.15,2009-08-23
Department of  Youth Rehabilitation Services,2535.46,2009-08-30
Office of the State Superintendent of Education,1117.06,2009-07-21
Office of the State Superintendent of Education,334.08,2009-08-17
Department on Disability Services,212.34,2009-07-09
Office of the State Superintendent of Education,2402.75,2009-07-22
Office of the State Superintendent of Education,111.3,2009-08-02
Department of Employment Services,887.66,2009-07-20
Office of the State Superintendent of Education,2278.22,2009-10-27
Office of the Chief Financial Officer,276.89,2009-07-09
Department of Health,338.08,2009-04-02
Serve DC,795.77,2009-05-26
Office of Municipal Planning,1262.26,2009-11-04
Office of the State Superintendent of Education,276.38,2009-06-18
Office of the State Superintendent of Education,1684.81,2009-01-25
Department of Property Management,1885.71,2009-05-28
Office of the State Superintendent of Education,1093.15,2009-01-05
DC Public Library,1939.26,2009-12-04
Department of Human Services,509.69,2009-04-01
Department of Consumer & Regulatory Affairs,2309.17,2009-08-29
Department of  Youth Rehabilitation Services,2108.24,2009-07-08
Office of the Mayor,2165.79,2009-11-19
Department of Public Works,201.57,2009-07-23
Department of  Youth Rehabilitation Services,2136.24,2009-08-23
Department of Employment Services,152.26,2009-06-22
DC Public Library,530.92,2009-10-30
District Department of Transportation,2023.48,2009-10-07
Department of Human Services,1885.23,2009-01-06
Department of  Youth Rehabilitation Services,250.3,2009-08-12
Department on Disability Services,2222.07,2009-08-29
Department of Employment Services,772.6,2009-11-03
Department of  Youth Rehabilitation Services,1240.24,2009-04-02
Department of  Youth Rehabilitation Services,1983.57,2009-03-24
Department of Public Works,1665.2,2009-08-21
Office of the Chief Financial Officer,3044.52,2009-10-06
Department of Public Works,1877.54,2009-09-04
Office of Municipal Planning,2537.15,2009-12-10
Office of the State Superintendent of Education,1273.46,2009-11-07
Department of  Youth Rehabilitation Services,1362.52,2009-02-18
Serve DC,2979.03,2009-03-04
Office of the State Superintendent of Education,2160.01,2009-12-28
Office of the State Superintendent of Education,1731.25,2009-01-13
Department of Public Works,334.14,2009-07-24
Department of Health,1954.37,2009-11-05
Department of Parks & Recreation,246.9,2009-10-19
Office of the State Superintendent of Education,1905.08,2009-01-10
Department of Health,108.29,2009-07-30
Office of the Inspector General,324.93,2009-02-08
Department of Public Works,187.05,2009-12-28
Department on Disability Services,1015.78,2009-01-09
Office of Unified Communications,2200.02,2009-08-12
Office of Municipal Planning,1588.65,2009-09-21
Department of Public Works,319.71,2009-07-20
Department of Public Works,1983.98,2009-07-18
Department of Parks & Recreation,2522.64,2009-08-02
Office of the State Superintendent of Education,545.77,2009-02-04
Department on Disability Services,1570.49,2009-01-07
Child & Family Services Administration,38.11,2009-12-26
Department of  Youth Rehabilitation Services,2076.05,2009-08-22
Department of  Youth Rehabilitation Services,1654.2,2009-09-03
District Department of Transportation,2534.25,2009-10-27
Department of  Youth Rehabilitation Services,1861.43,2009-05-30
Department on Disability Services,2051.1,2009-08-27
Office of the Chief Financial Officer,1039.86,2009-07-22
Office of the State Superintendent of Education,504.73,2009-03-29
Department of  Youth Rehabilitation Services,326.11,2009-08-03
Department of Public Works,771.17,2009-07-28
Department of Corrections,167.45,2009-07-20
Department of  Youth Rehabilitation Services,1162.96,2009-06-30
Office of the State Superintendent of Education,615.5,2009-06-20
Office of the State Superintendent of Education,347.94,2009-07-13
Department of  Youth Rehabilitation Services,-753.78,2009-03-17
Department of Human Services,241.41,2009-03-15
Department of Health,197.16,2009-06-07
Department of Corrections,369.77,2009-07-21
Department on Disability Services,1003.62,2009-09-28
Office of the State Superintendent of Education,2504.2,2009-08-18
Department of Public Works,111.81,2009-06-24
Department of  Youth Rehabilitation Services,757.25,2009-07-03
DC Public Library,158.84,2009-03-09
District Department of the Environment,1355.57,2009-08-23
Department of  Youth Rehabilitation Services,288.8,2009-07-01
Office of the State Superintendent of Education,1369.37,2009-07-12
Office of the State Superintendent of Education,690.22,2009-10-10
Department of Employment Services,2665.17,2009-08-12
Office of Unified Communications,2923.35,2009-09-23
Department of Health,2068.34,2009-07-07
Department of Public Works,2755.97,2009-12-29
Department of Motor Vehicles,263.32,2009-06-21
Department of Health,1415.63,2009-08-27
Department of  Youth Rehabilitation Services,2537.7,2009-10-02
District Department of Transportation,2397.2,2009-10-24
Department of Consumer & Regulatory Affairs,3016.14,2009-09-23
Department of  Youth Rehabilitation Services,602.9,2009-09-24
Department on Disability Services,2136.0,2009-08-25
Office of the State Superintendent of Education,304.27,2009-10-30
Department of Health,1872.63,2009-02-15
Department of Property Management,2555.33,2009-12-08
Child & Family Services Administration,2726.91,2009-11-13
University of the District of Columbia,2.18,2009-11-11
Department on Disability Services,2122.38,2009-08-24
Department of Human Services,310.3,2009-07-17
Office of the State Superintendent of Education,357.04,2009-07-08
Office of the Secretary,1248.28,2009-09-24
District Department of the Environment,943.3,2009-09-13
DC Sentencing & Criminal Code Review Committee,-78.99,2009-01-06
Office of the State Superintendent of Education,2809.16,2009-04-25
Board of Elections & Ethics,1265.89,2009-09-20
Department of Motor Vehicles,1470.08,2009-04-15
Department of  Youth Rehabilitation Services,381.25,2009-07-17
Department of  Youth Rehabilitation Services,47.89,2009-10-31
DC Department of Human Resources,2230.8,2009-08-05
Office of Unified Communications,2487.75,2009-09-23
Office of Victim Services,1951.87,2009-03-30
Department of Public Works,1132.69,2009-10-30
Department of  Youth Rehabilitation Services,348.85,2009-08-07
Department of Consumer & Regulatory Affairs,193.88,2009-08-15
Office of Victim Services,2090.56,2009-07-06
Department of Motor Vehicles,2197.94,2009-03-20
Office of the Chief Financial Officer,275.82,2009-06-19
Department of Parks & Recreation,2178.82,2009-08-11
District Department of the Environment,914.09,2009-03-29
Department of Human Services,1862.0,2009-12-05
Department of Employment Services,1870.01,2009-09-26
Department of  Youth Rehabilitation Services,345.85,2009-08-04
Department of  Youth Rehabilitation Services,1086.06,2009-04-08
Department of  Youth Rehabilitation Services,1681.98,2009-07-27
Office of the Attorney General,2174.39,2009-08-11
Department on Disability Services,110.6,2009-07-02
Department of  Youth Rehabilitation Services,2428.48,2009-07-10
Office of the State Superintendent of Education,1354.61,2009-10-27
Department on Disability Services,2913.85,2009-07-06
Department of Human Services,217.52,2009-10-31
DC Public Library,1846.84,2009-08-26
Department of  Youth Rehabilitation Services,783.49,2009-10-09
"Department of Insurance, Securities & Banking",344.58,2009-09-17
Office of the State Superintendent of Education,367.03,2009-07-31
Department of Health,53.56,2009-07-17
Department of Health,105.24,2009-07-24
Department of  Youth Rehabilitation Services,184.94,2009-08-20
Office of the State Superintendent of Education,628.11,2009-05-02
Department of Parks & Recreation,2024.5,2009-09-24
Department of  Youth Rehabilitation Services,1619.28,2009-04-14
Office of the State Superintendent of Education,266.55,2009-07-19
Department of  Youth Rehabilitation Services,229.76,2009-03-05
Department of  Youth Rehabilitation Services,119.62,2009-11-02
Department on Disability Services,240.85,2009-07-20
Office of the State Superintendent of Education,275.06,2009-04-06
Office of Zoning,656.05,2009-09-27
"Department of Insurance, Securities & Banking",373.67,2009-11-25
Department of Human Services,2255.52,2009-07-29
Department of Public Works,2698.99,2009-12-07
Department of Public Works,2279.47,2009-08-27
Office of the State Superintendent of Education,580.44,2009-07-22
Department of  Youth Rehabilitation Services,2002.38,2009-09-15
Department of Employment Services,2499.0,2009-12-16
Department of Human Services,540.62,2009-10-29
Department of  Youth Rehabilitation Services,602.9,2009-09-28
Child & Family Services Administration,1770.47,2009-11-01
Department of  Youth Rehabilitation Services,314.7,2009-07-08
District Department of Transportation,2525.28,2009-12-03
Office of the Chief Financial Officer,224.11,2009-07-11
Department of  Youth Rehabilitation Services,425.87,2009-10-18
Department of  Youth Rehabilitation Services,398.28,2009-11-18
Department of  Youth Rehabilitation Services,180.42,2009-11-06
Office of the State Superintendent of Education,780.21,2009-02-04
Department of Human Services,150.92,2009-03-26
Department of Employment Services,2484.7,2009-08-17
Office of Unified Communications,1490.55,2009-09-24
Office of the State Superintendent of Education,2013.76,2009-11-13
Office of Community Affairs,490.82,2009-10-30
Child & Family Services Administration,388.01,2009-10-12
Department of Health,1157.7,2009-04-14
Office of the State Superintendent of Education,436.59,2009-10-31
Department of Mental Health,124.89,2009-06-17
Office of the State Superintendent of Education,1932.78,2009-07-10
Office of the State Superintendent of Education,961.41,2009-08-16
Office of Municipal Planning,325.02,2009-09-17
DC Department of Human Resources,2174.47,2009-08-19
Department of Human Services,2435.49,2009-08-03
Department of  Youth Rehabilitation Services,2374.33,2009-09-06
Office of the State Superintendent of Education,-129.31,2009-10-18
Department on Disability Services,2563.05,2009-01-10
Office of the State Superintendent of Education,585.48,2009-09-27
Department of  Youth Rehabilitation Services,702.52,2009-11-07
Department of Corrections,329.3,2009-11-11
Department of Employment Services,220.28,2009-10-21
Department of  Youth Rehabilitation Services,837.72,2009-10-25
Department on Disability Services,2234.38,2009-08-16
Office of the State Superintendent of Education,1906.64,2009-03-26
Office of the State Superintendent of Education,1262.14,2009-09-20
Department of  Youth Rehabilitation Services,1706.19,2009-09-17
Office of Municipal Planning,370.74,2009-10-23
Department on Disability Services,-171.78,2009-10-25
Office of the Chief Financial Officer,7.74,2009-11-12
Office of the Chief Financial Officer,230.91,2009-07-25
Department of Health,576.16,2009-02-19
Department of Consumer & Regulatory Affairs,27.09,2009-12-21
Department of Health,1581.81,2009-02-27
Department of Human Services,321.62,2009-07-20
Department of Health,1898.7,2009-08-31
Office of the State Superintendent of Education,827.22,2009-07-28
Department of Public Works,2368.77,2009-08-16
Department on Disability Services,65.16,2009-07-18
Department of Health,379.14,2009-05-18
Department of Employment Services,1310.09,2009-09-22
Office of the Inspector General,651.49,2009-04-18
Office of Municipal Planning,179.07,2009-09-22
DC Public Library,380.2,2009-07-19
Department of Health,1674.82,2009-03-01
DC Department of Human Resources,3028.88,2009-09-21
Office of Police Complaints,1757.86,2009-07-30
Office of the State Superintendent of Education,1171.0,2009-02-08
Department of Corrections,91.35,2009-10-09
Department of  Youth Rehabilitation Services,1930.28,2009-02-26
Office of the State Superintendent of Education,1188.06,2009-03-17
DC Public Library,270.45,2009-08-15
University of the District of Columbia,-74.34,2009-10-30
DC Public Library,369.2,2009-08-02
Department of Employment Services,2323.19,2009-08-26
Department of Mental Health,160.65,2009-02-24
Office of the State Superintendent of Education,806.67,2009-07-23
District Department of the Environment,2405.79,2009-09-25
Department of Consumer & Regulatory Affairs,1677.19,2009-02-20
Office of the Chief Financial Officer,2053.42,2009-04-30
Department of  Youth Rehabilitation Services,410.56,2009-08-26
Office of the State Superintendent of Education,2324.11,2009-09-23
Department of Health,2291.3,2009-08-26
Department of Consumer & Regulatory Affairs,399.98,2009-10-27
Department of Human Services,736.89,2009-11-03
Office of Victim Services,1937.16,2009-05-30
Department of Public Works,1358.54,2009-09-22
Department of Health,2269.38,2009-12-30
Office of Municipal Planning,2647.76,2009-08-08
Department of Employment Services,239.31,2009-07-22
Office of the State Superintendent of Education,224.17,2009-03-23
Department of Human Services,1999.01,2009-02-18
Department of Human Services,-855.41,2009-08-01
Department of Human Services,2010.21,2009-04-19
Department on Disability Services,1088.84,2009-07-12
Department of Employment Services,1812.56,2009-09-19
Department of Public Works,583.43,2009-08-01
Department of  Youth Rehabilitation Services,195.48,2009-07-28
Department of Health,1905.14,2009-01-11
Department of Corrections,60.18,2009-06-15
Office of Disability Rights,680.21,2009-06-08
Department of  Youth Rehabilitation Services,584.37,2009-11-11
Department on Disability Services,2998.95,2009-08-31
Department on Disability Services,2519.61,2009-12-16
Department of Corrections,438.34,2009-07-11
Department of Health,298.5,2009-08-13
Department of Health,1681.22,2009-12-30
Department of Health,1895.55,2009-08-22
Office of the Mayor,2893.82,2009-02-09
Office of the State Superintendent of Education,408.5,2009-10-28
Department of Health,228.3,2009-07-15
Office of the State Superintendent of Education,118.4,2009-11-17
Department of Consumer & Regulatory Affairs,320.76,2009-10-21
Office of the Attorney General,2294.76,2009-08-05
Office of the State Superintendent of Education,899.45,2009-03-26
Office of the State Superintendent of Education,634.0,2009-11-12
Department of Health,155.1,2009-07-14
Department of Corrections,2213.28,2009-07-30
Department of Health,73.54,2009-12-22
Office of the State Superintendent of Education,-65.04,2009-07-20
Department of  Youth Rehabilitation Services,1914.58,2009-09-18
Office of the Secretary,153.15,2009-10-29
Department of Health,700.69,2009-06-23
Department of Public Works,217.5,2009-03-27
Department of Parks & Recreation,2552.79,2009-12-10
DC Public Library,1034.42,2009-02-20
Department of  Youth Rehabilitation Services,730.13,2009-11-06
DC Public Library,544.81,2009-05-04
Office of the State Superintendent of Education,225.78,2009-08-02
Department of Employment Services,1216.93,2009-02-05
District Department of the Environment,2872.24,2009-08-12
Office of the State Superintendent of Education,292.37,2009-10-22
Department of Health,813.46,2009-08-12
Department of  Youth Rehabilitation Services,-49.95,2009-08-15
Department of  Youth Rehabilitation Services,2239.66,2009-08-09
Office of the State Superintendent of Education,272.9,2009-08-05
Department of Corrections,3113.29,2009-11-12
Department of  Youth Rehabilitation Services,516.37,2009-11-02
Department of Health,421.74,2009-07-03
Office of the State Superintendent of Education,658.9,2009-03-16
Fire & Emergency Medical Services,2645.94,2009-03-08
Office of Victim Services,2095.84,2009-06-26
Department of Employment Services,521.88,2009-11-13
Department of Human Services,1453.54,2009-09-26
DC Department of Human Resources,759.7,2009-04-13
Department of Employment Services,223.83,2009-12-20
Department of Public Works,309.03,2009-08-02
Office of the State Superintendent of Education,123.15,2009-10-08
Office of the State Superintendent of Education,160.84,2009-06-17
Department of  Youth Rehabilitation Services,2121.83,2009-10-26
Office of the State Superintendent of Education,659.21,2009-11-08
Department on Disability Services,1355.27,2009-03-24
Department of  Youth Rehabilitation Services,1051.06,2009-03-17
Department of Employment Services,-222.8,2009-03-21
Department of Consumer & Regulatory Affairs,2354.42,2009-10-20
Office of the State Superintendent of Education,382.87,2009-07-18
District Department of the Environment,1691.24,2009-09-16
DC Department of Human Resources,2244.8,2009-08-23
Department of  Youth Rehabilitation Services,1451.7,2009-08-19
Department on Disability Services,680.73,2009-11-02
Department on Disability Services,1052.08,2009-08-25
Office of the State Superintendent of Education,2301.32,2009-08-28
Department of  Youth Rehabilitation Services,2308.54,2009-08-14
Commission on Arts & Humanities,302.51,2009-11-04
Department of  Youth Rehabilitation Services,2299.44,2009-04-28
Department of Employment Services,960.13,2009-09-27
Department of  Youth Rehabilitation Services,149.91,2009-04-11
Department of Health,870.23,2009-07-14
Department of  Youth Rehabilitation Services,529.08,2009-05-31
Department of Motor Vehicles,1137.18,2009-04-23
DC Public Library,1361.48,2009-04-15
Department of  Youth Rehabilitation Services,2458.23,2009-10-13
Department of Health,662.33,2009-07-25
Office of Cable TV,345.49,2009-11-12
Department of Consumer & Regulatory Affairs,186.88,2009-11-01
Department of Public Works,130.14,2009-10-25
Department of Health,438.81,2009-07-31
Department of Health,170.56,2009-07-30
Department of Employment Services,748.65,2009-09-13
Department of  Youth Rehabilitation Services,819.88,2009-11-14
Department of  Youth Rehabilitation Services,358.03,2009-06-29
Department of Employment Services,152.79,2009-11-06
Department of  Youth Rehabilitation Services,753.95,2009-03-26
Office of the State Superintendent of Education,1662.57,2009-04-02
Department of Public Works,171.69,2009-07-20
Department of  Youth Rehabilitation Services,294.86,2009-10-18
Department on Disability Services,36.34,2009-11-06
Department of Public Works,146.96,2009-06-20
Office of the State Superintendent of Education,2411.7,2009-01-07
Department of Health,311.75,2009-10-29
Department on Disability Services,180.88,2009-12-29
Department on Disability Services,308.9,2009-07-18
Department of Health,507.15,2009-03-21
Office of Cable TV,521.23,2009-11-25
Office of Contracting & Procurement,2827.83,2009-06-10
Office of the Chief Financial Officer,9.34,2009-07-09
Department of Corrections,2052.2,2009-08-29
Office of the State Superintendent of Education,2126.76,2009-01-09
University of the District of Columbia,81.16,2009-11-17
Department of Public Works,1283.7,2009-08-15
Department of Health,280.62,2009-07-15
Department of  Youth Rehabilitation Services,156.22,2009-06-26
Office of Unified Communications,2174.06,2009-11-03
Department of Mental Health,167.79,2009-10-28
Office of the State Superintendent of Education,2327.93,2009-09-19
Department of Health,1400.23,2009-07-07
Office of the Secretary,215.22,2009-11-16
Department of Employment Services,-728.38,2009-10-26
Office of the State Superintendent of Education,1361.68,2009-07-28
Commission of Judicial Disabilities & Tenure,2305.55,2009-06-20
Department on Disability Services,272.58,2009-07-20
Department of Public Works,194.93,2009-08-17
DC Department of Human Resources,2131.07,2009-08-13
Office of the State Superintendent of Education,2872.73,2009-02-19
Department of  Youth Rehabilitation Services,1187.55,2009-08-15
Office of the State Superintendent of Education,142.15,2009-07-28
Serve DC,197.58,2009-07-27
Office of Municipal Planning,-37.31,2009-08-02
Department of Health,548.14,2009-11-17
Office of the State Superintendent of Education,265.44,2009-08-10
Office of the State Superintendent of Education,2162.64,2009-07-17
District Department of the Environment,368.95,2009-06-10
Office of Municipal Planning,257.55,2009-07-06
Office of Municipal Planning,714.76,2009-07-10
Department of Health,1966.28,2009-07-28
Department of  Youth Rehabilitation Services,2394.03,2009-10-18
Department of  Youth Rehabilitation Services,2197.86,2009-07-12
DC Department of Human Resources,-722.13,2009-10-23
Department of  Youth Rehabilitation Services,399.18,2009-07-31
Department of  Youth Rehabilitation Services,2056.64,2009-09-13
DC Public Library,149.2,2009-03-10
Department of Corrections,446.31,2009-10-28
Department of Mental Health,1727.78,2009-07-27
DC Department of Human Resources,2467.33,2009-09-21
Department of Corrections,2244.97,2009-04-24
DC Public Library,80.64,2009-08-17
DC Department of Human Resources,1973.66,2009-11-13
Department of Mental Health,162.64,2009-11-07
Department of Public Works,1345.86,2009-04-08
Department of Consumer & Regulatory Affairs,336.72,2009-07-07
University of the District of Columbia,208.36,2009-10-11
Department on Disability Services,2576.18,2009-12-10
Office of the Inspector General,1577.49,2009-03-10
Department of Health,2067.43,2009-07-18
Department of Health,1922.4,2009-01-06
DC Department of Human Resources,1608.66,2009-03-26
Department of  Youth Rehabilitation Services,1563.45,2009-03-28
Department of Motor Vehicles,1995.51,2009-08-30
Department of  Youth Rehabilitation Services,763.78,2009-04-05
Commission on Arts & Humanities,189.59,2009-12-29
Commission on Arts & Humanities,2805.51,2009-06-23
Department of Public Works,220.98,2009-02-04
Department of Health,162.97,2009-07-24
Office of the Chief Financial Officer,423.02,2009-10-09
Board of Elections & Ethics,3150.52,2009-07-14
Department on Disability Services,1456.9,2009-01-07
Department on Disability Services,2307.22,2009-07-02
Department of  Youth Rehabilitation Services,666.06,2009-05-27
Office of the State Superintendent of Education,1359.21,2009-12-28
Alcoholic Beverage Regulation Administration,1064.77,2009-09-09
Department of  Youth Rehabilitation Services,2434.47,2009-10-05
Office of the Chief Financial Officer,128.83,2009-11-03
Board of Elections & Ethics,126.26,2009-11-02
Office of the State Superintendent of Education,2692.6,2009-12-07
Department of Mental Health,256.08,2009-03-09
Department of Consumer & Regulatory Affairs,445.38,2009-12-28
Department of  Youth Rehabilitation Services,1340.44,2009-04-22
Office of the State Superintendent of Education,185.28,2009-11-17
Department of  Youth Rehabilitation Services,2702.45,2009-12-18
Department of Public Works,1969.02,2009-08-28
Department of Mental Health,243.47,2009-04-01
University of the District of Columbia,1773.2,2009-12-21
Department of Public Works,1091.27,2009-06-29
Department of Public Works,941.75,2009-09-16
Department of Employment Services,462.33,2009-11-27
Office of the State Superintendent of Education,2568.72,2009-01-08
Office of the State Superintendent of Education,1834.24,2009-02-12
Office of the State Superintendent of Education,1836.0,2009-10-01
Department of Employment Services,1488.64,2009-09-17
Department on Disability Services,847.88,2009-06-17
Office of Municipal Planning,1383.77,2009-11-15
Office of the Inspector General,214.79,2009-03-20
Office of Administrative Hearings,431.05,2009-04-01
DC Public Library,3306.37,2009-11-22
Department of Public Works,2480.95,2009-12-16
Office of the Inspector General,733.85,2009-04-22
Office of the State Superintendent of Education,527.67,2009-11-05
Office of Unified Communications,1525.87,2009-09-19
DC Department of Human Resources,1438.35,2009-09-25
Department of Public Works,2334.66,2009-08-21
Department of Human Services,46.94,2009-11-04
District Department of Transportation,2565.67,2009-02-16
Office of the Mayor,512.23,2009-09-22
District Department of the Environment,1128.37,2009-06-30
Department of Employment Services,2156.78,2009-11-06
Department of Health,219.71,2009-07-23
University of the District of Columbia,740.1,2009-12-14
Department of Corrections,142.65,2009-08-18
Department of  Youth Rehabilitation Services,2074.44,2009-08-29
DC Public Library,770.59,2009-10-21
Department on Disability Services,200.51,2009-01-06
Office of the State Superintendent of Education,2014.49,2009-08-27
Office of Unified Communications,2228.9,2009-02-23
Department on Disability Services,-16.41,2009-10-20
Department of  Youth Rehabilitation Services,697.07,2009-09-27
Department of  Youth Rehabilitation Services,388.17,2009-08-02
Department of Human Services,2124.29,2009-03-23
Department of  Youth Rehabilitation Services,1505.09,2009-08-23
DC Public Library,503.99,2009-07-25
Department of  Youth Rehabilitation Services,972.05,2009-08-28
Department of  Youth Rehabilitation Services,-46.21,2009-11-06
Department of Employment Services,50.09,2009-11-30
DC Public Library,371.32,2009-03-22
Child & Family Services Administration,2590.52,2009-12-11
Department of Health,2421.55,2009-08-04
Department on Disability Services,1469.88,2009-01-07
Department of Corrections,2253.44,2009-11-04
Department of  Youth Rehabilitation Services,-79.3,2009-11-18
Office of the Chief Financial Officer,99.75,2009-10-10
Department of Health,2403.11,2009-09-24
Department of  Youth Rehabilitation Services,1790.98,2009-01-07
Office of the State Superintendent of Education,508.3,2009-10-29
Department of Employment Services,-20.7,2009-07-22
District Department of the Environment,1981.22,2009-07-29
DC Public Library,571.17,2009-05-23
DC Public Library,955.31,2009-11-20
Child & Family Services Administration,476.84,2009-10-23
Department of Human Services,970.42,2009-08-27
Department of Public Works,114.13,2009-07-18
Department of Health,231.25,2009-07-04
Department of Health,404.62,2009-11-01
Department of Employment Services,861.97,2009-03-20
Department of Corrections,153.57,2009-11-14
Office of the State Superintendent of Education,2173.48,2009-10-31
Department of Employment Services,2140.1,2009-08-29
Office of the Secretary,709.23,2009-09-16
Office of the Secretary,1439.46,2009-09-21
Department of Corrections,1668.07,2009-10-26
Office of the State Superintendent of Education,2844.03,2009-01-07
Department of Health,484.65,2009-10-29
Office of the State Superintendent of Education,617.56,2009-02-26
Department on Disability Services,327.74,2009-07-21
Office of the Inspector General,268.84,2009-06-13
Department of Consumer & Regulatory Affairs,2877.39,2009-07-24
DC Public Library,280.23,2009-04-12
Office of the Chief Financial Officer,110.93,2009-10-18
DC Department of Human Resources,132.02,2009-11-02
Office of the State Superintendent of Education,263.27,2009-07-16
Department on Disability Services,743.1,2009-10-23
Department of  Youth Rehabilitation Services,2987.31,2009-08-13
Department of Employment Services,1026.32,2009-12-01
Office of the Chief Financial Officer,183.11,2009-11-17
Department of Mental Health,260.45,2009-03-21
Department of Public Works,-233.47,2009-12-18
Department of Employment Services,2012.79,2009-03-26
Department of Public Works,312.83,2009-06-29
Department of Public Works,446.76,2009-07-07
Department of  Youth Rehabilitation Services,840.33,2009-10-22
Department of  Youth Rehabilitation Services,485.28,2009-10-27
Department of Housing & Community Development,2364.64,2009-07-11
Department of Mental Health,661.29,2009-11-08
Department on Disability Services,2148.29,2009-08-03
Department of Public Works,2582.33,2009-12-29
Department of  Youth Rehabilitation Services,2277.49,2009-08-10
District Department of the Environment,-1674.5,2009-12-28
Office of the Chief Financial Officer,88.46,2009-08-07
DC Department of Human Resources,120.82,2009-11-02
Office of Municipal Planning,2386.43,2009-08-19
Department on Disability Services,100.16,2009-09-29
Department of  Youth Rehabilitation Services,335.14,2009-10-25
Office of the State Superintendent of Education,860.6,2009-07-28
Department on Disability Services,69.4,2009-11-05
Department of Health,1944.89,2009-08-04
Commission on Arts & Humanities,1909.03,2009-07-21
