AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
DC Public Library,1884.0,2009-03-23
Department of Health,205.0,2009-03-23
District Department of the Environment,525.6,2009-03-23
Office of the Inspector General,1295.0,2009-03-24
Metropolitan Police Department,188.1,2009-03-24
Metropolitan Police Department,1500.0,2009-03-23
Metropolitan Police Department,64.72,2009-03-23
Commission on Arts & Humanities,-3.78,2009-03-23
Commission on Arts & Humanities,351.21,2009-03-23
Office of the State Superintendent of Education,375.0,2009-03-24
Department of Human Services,9.99,2009-03-23
DC Public Library,39.99,2009-03-23
DC Public Library,1014.2,2009-03-23
Department of  Youth Rehabilitation Services,1950.0,2009-03-23
Department of  Youth Rehabilitation Services,322.51,2009-03-23
Department of  Youth Rehabilitation Services,540.0,2009-03-23
Fire & Emergency Medical Services,1756.76,2009-03-23
Office of Unified Communications,2290.4,2009-03-23
Department of Housing & Community Development,25.29,2009-03-23
Department of Housing & Community Development,31.34,2009-03-23
Department of Motor Vehicles,431.78,2009-03-23
Office of Disability Rights,169.99,2009-03-23
Office of the Chief Technology Officer,89.0,2009-03-23
Office of the State Superintendent of Education,2375.0,2009-03-23
Office of the Chief Financial Officer,178.38,2009-03-23
DC Public Library,209.85,2009-03-24
Fire & Emergency Medical Services,142.92,2009-03-23
Department of Employment Services,200.0,2009-03-24
Office of the Chief Financial Officer,765.0,2009-03-24
District Department of Transportation,192.0,2009-03-23
Contract Appeals Board,1878.1,2009-03-24
Department of Property Management,-30.72,2009-03-23
Department of Property Management,1000.0,2009-03-24
Department of Property Management,910.0,2009-03-24
Department of Property Management,171.9,2009-03-24
Department of Employment Services,145.39,2009-03-24
Department of Employment Services,62.85,2009-03-24
District Department of Transportation,195.46,2009-03-24
Department of  Youth Rehabilitation Services,343.07,2009-03-24
Department of Human Services,160.0,2009-03-24
Department of  Youth Rehabilitation Services,2280.0,2009-03-24
Department on Disability Services,129.76,2009-03-23
Office of the Tenant Advocate,150.0,2009-03-24
Fire & Emergency Medical Services,-50.0,2009-03-23
Department of  Youth Rehabilitation Services,449.25,2009-03-23
Department of  Youth Rehabilitation Services,64.11,2009-03-23
DC Department of Human Resources,55.98,2009-03-23
Fire & Emergency Medical Services,119.95,2009-03-24
District Department of the Environment,303.87,2009-03-23
District Department of the Environment,290.97,2009-03-24
District Department of the Environment,39.5,2009-03-25
Department of Public Works,190.0,2009-03-23
Department of Public Works,264.7,2009-03-24
Office of the State Superintendent of Education,710.0,2009-03-24
Fire & Emergency Medical Services,294.0,2009-03-24
Office of the Inspector General,432.0,2009-03-23
Office of the Inspector General,1565.4,2009-03-24
Office of the Inspector General,-195.0,2009-03-25
Office of the Inspector General,987.49,2009-03-24
Office of the Inspector General,995.0,2009-03-25
Office of the Attorney General,107.0,2009-03-23
Metropolitan Police Department,111.0,2009-03-23
Metropolitan Police Department,135.96,2009-03-24
Metropolitan Police Department,62.21,2009-03-24
Metropolitan Police Department,12.26,2009-03-24
DC Department of Human Resources,206.0,2009-03-24
Office of the Attorney General,199.99,2009-03-20
Department of Employment Services,9.0,2009-03-19
Department of Employment Services,126.0,2009-03-20
City Administrator/Deputy Mayor,261.12,2009-03-20
Department of Human Services,870.4,2009-03-19
Department of Human Services,259.04,2009-03-21
Office of the Tenant Advocate,355.3,2009-03-22
Department of Health,337.37,2009-03-19
Fire & Emergency Medical Services,10.74,2009-03-20
Disability Compensation Fund,-32.62,2009-03-20
Disability Compensation Fund,259.99,2009-03-21
DC Public Library,2580.2,2009-03-17
DC Public Library,146.42,2009-03-19
DC Public Library,1129.97,2009-03-20
DC Public Library,175.0,2009-03-20
Department of Parks & Recreation,5.28,2009-03-20
Fire & Emergency Medical Services,554.95,2009-03-19
Department of Health,165.65,2009-03-19
Department of Public Works,187.57,2009-03-19
Department of Consumer & Regulatory Affairs,40.0,2009-03-20
Department of Consumer & Regulatory Affairs,232.0,2009-03-21
District Department of Transportation,511.4,2009-03-20
Department of Public Works,163.8,2009-03-21
Office of the Chief Technology Officer,149.0,2009-03-20
Department on Disability Services,2400.0,2009-03-19
Office of the Chief Financial Officer,-6.21,2009-03-20
Office of the State Superintendent of Education,169.5,2009-03-19
Office of the State Superintendent of Education,169.5,2009-03-19
Department of Health,451.99,2009-03-20
Department of Health,2090.0,2009-03-20
Office of Human Rights,20.03,2009-03-19
Office of Human Rights,445.2,2009-03-19
Office of Human Rights,939.46,2009-03-21
Office of Human Rights,952.85,2009-03-20
District Department of the Environment,107.8,2009-03-19
District Department of Transportation,275.0,2009-03-19
Office of Public Educational Facilities Modernization,1949.97,2009-03-19
Office of Public Educational Facilities Modernization,1550.61,2009-03-20
Office of the Inspector General,1299.0,2009-03-20
Office of the Inspector General,652.0,2009-03-20
Deputy Mayor for Economic Development,175.17,2009-03-19
Deputy Mayor for Economic Development,1475.09,2009-03-20
Metropolitan Police Department,2981.85,2009-03-20
Metropolitan Police Department,18.85,2009-03-21
Metropolitan Police Department,740.76,2009-03-20
Metropolitan Police Department,419.43,2009-03-20
Office of the State Superintendent of Education,-448.0,2009-03-22
Department of Corrections,293.96,2009-03-21
Department of Corrections,198.09,2009-03-21
Department of Corrections,300.0,2009-03-20
DC Department of Human Resources,2458.03,2009-03-21
Fire & Emergency Medical Services,422.5,2009-03-20
Fire & Emergency Medical Services,1770.0,2009-03-20
Fire & Emergency Medical Services,730.0,2009-03-20
Office of Victim Services,16.5,2009-03-22
Fire & Emergency Medical Services,165.0,2009-03-20
Fire & Emergency Medical Services,165.0,2009-03-20
Department of Consumer & Regulatory Affairs,870.0,2009-03-26
Department of Public Works,660.0,2009-03-26
Department of Motor Vehicles,31.46,2009-03-25
Office of the State Superintendent of Education,233.09,2009-03-26
DC Public Library,-43.44,2009-03-26
Department of Property Management,534.97,2009-03-26
Department of Property Management,524.97,2009-03-26
Department of Property Management,609.28,2009-03-26
Metropolitan Police Department,49.98,2009-03-25
Metropolitan Police Department,9.82,2009-03-26
Office of Municipal Planning,-37.5,2009-03-26
Department of Employment Services,1012.88,2009-03-26
Office of the Attorney General,219.0,2009-03-27
Department of Motor Vehicles,350.0,2009-03-25
Department of Motor Vehicles,2400.0,2009-03-26
Department of Motor Vehicles,12.85,2009-03-26
Department of Public Works,116.2,2009-03-25
Department of Public Works,153.2,2009-03-25
Department of Public Works,359.2,2009-03-25
Department of Public Works,895.0,2009-03-26
Department of Public Works,2374.35,2009-03-26
Department of  Youth Rehabilitation Services,44.99,2009-03-25
Department of Mental Health,37.56,2009-03-26
Office of the State Superintendent of Education,365.0,2009-03-25
Office of the State Superintendent of Education,309.0,2009-03-26
District Department of Transportation,2463.29,2009-03-26
Department of Corrections,105.0,2009-03-25
Department of Health,2033.0,2009-03-25
Department on Disability Services,119.0,2009-03-25
Department of Health Care Finance,47.05,2009-03-25
Office of the State Superintendent of Education,848.4,2009-03-25
Office of the Chief Financial Officer,205.79,2009-03-25
Office of the Chief Financial Officer,161.27,2009-03-25
Fire & Emergency Medical Services,351.23,2009-03-25
Fire & Emergency Medical Services,133.8,2009-03-25
Office of Administrative Hearings,430.0,2009-03-26
Department on Disability Services,333.02,2009-03-26
Office of Municipal Planning,450.0,2009-03-27
Department of Health,433.91,2009-03-26
"Department of Insurance, Securities & Banking",686.0,2009-03-26
Office of the Tenant Advocate,1806.0,2009-03-28
Fire & Emergency Medical Services,301.7,2009-03-26
Fire & Emergency Medical Services,1679.0,2009-03-26
Fire & Emergency Medical Services,150.0,2009-03-27
Department of Health,1365.24,2009-03-27
Department of Health,750.0,2009-03-27
Department of  Youth Rehabilitation Services,31.77,2009-03-27
Department of  Youth Rehabilitation Services,1101.28,2009-03-27
Disability Compensation Fund,147.61,2009-03-27
Fire & Emergency Medical Services,2250.0,2009-03-27
Fire & Emergency Medical Services,575.0,2009-03-27
Fire & Emergency Medical Services,2045.0,2009-03-27
DC Public Library,2200.0,2009-03-27
Department of Parks & Recreation,472.49,2009-03-27
Department of Parks & Recreation,369.31,2009-03-27
DC Department of Human Resources,500.0,2009-03-25
DC Department of Human Resources,1395.0,2009-03-27
District Department of the Environment,539.4,2009-03-25
District Department of the Environment,183.0,2009-03-30
Department of Public Works,485.0,2009-03-27
District Department of Transportation,157.29,2009-03-27
District Department of Transportation,600.91,2009-03-27
District Department of Transportation,1452.67,2009-03-27
District Department of Transportation,247.71,2009-03-27
District Department of Transportation,250.0,2009-03-27
Fire & Emergency Medical Services,1200.0,2009-03-27
Office of the State Superintendent of Education,-804.99,2009-03-27
Office of the State Superintendent of Education,110.0,2009-03-28
Office of the State Superintendent of Education,2474.28,2009-03-28
Department of Health,116.31,2009-03-27
District Department of the Environment,177.0,2009-03-25
District Department of the Environment,260.8,2009-03-27
Fire & Emergency Medical Services,2940.0,2009-03-27
Department of Property Management,2358.96,2009-03-26
Fire & Emergency Medical Services,577.85,2009-03-27
Office of the Chief Financial Officer,2035.25,2009-03-27
Deputy Mayor for Economic Development,595.0,2009-03-28
Deputy Mayor for Economic Development,595.0,2009-03-28
Deputy Mayor for Economic Development,1161.09,2009-03-27
Metropolitan Police Department,156.1,2009-03-26
DC Department of Human Resources,695.0,2009-03-27
Fire & Emergency Medical Services,67.94,2009-03-27
District Department of Transportation,1110.0,2009-03-27
District Department of Transportation,339.57,2009-03-27
District Department of Transportation,68.04,2009-03-27
District Department of Transportation,105.78,2009-03-28
District Department of Transportation,44.39,2009-03-29
District Department of Transportation,24.41,2009-03-29
District Department of Transportation,19.65,2009-03-29
Metropolitan Police Department,168.45,2009-03-27
Metropolitan Police Department,194.0,2009-03-27
Metropolitan Police Department,86.64,2009-03-27
Metropolitan Police Department,20.24,2009-03-27
Office of Contracting & Procurement,412.16,2009-03-27
Office of Contracting & Procurement,-929.99,2009-03-27
Department of Health,239.21,2009-03-26
Department of Health,189.2,2009-03-26
Department of Health,189.2,2009-03-26
Department of Health,189.2,2009-03-26
Fire & Emergency Medical Services,30.0,2009-03-25
District Department of Transportation,2624.16,2009-03-25
Department of Human Services,69.95,2009-03-26
Department of  Youth Rehabilitation Services,-2.58,2009-03-26
DC Public Library,3.0,2009-03-25
Metropolitan Police Department,38.97,2009-03-27
Office of Cable TV,420.0,2009-03-29
Fire & Emergency Medical Services,800.0,2009-03-27
Department of Property Management,39.75,2009-03-26
Department of Property Management,426.28,2009-03-27
Office of the Attorney General,17.97,2009-03-29
Department of Public Works,6.99,2009-03-27
Department of Public Works,36.0,2009-03-27
Department of Public Works,338.4,2009-03-27
Board of Elections & Ethics,935.4,2009-03-26
Board of Elections & Ethics,581.79,2009-03-27
District Department of the Environment,362.37,2009-03-27
DC Taxicab Commission,1254.43,2009-03-27
Department of Public Works,117.62,2009-03-26
Department of Public Works,949.52,2009-03-27
Department of Consumer & Regulatory Affairs,128.84,2009-03-27
District Department of Transportation,2003.05,2009-03-27
District Department of Transportation,22.95,2009-03-27
Department of Housing & Community Development,454.61,2009-03-26
Office of the Chief Technology Officer,630.0,2009-03-27
Department of Mental Health,555.1,2009-03-27
Department of Human Services,2346.5,2009-03-27
Department of  Youth Rehabilitation Services,176.0,2009-03-26
Department of Employment Services,1500.0,2009-03-27
Department of Employment Services,126.0,2009-03-27
City Administrator/Deputy Mayor,721.96,2009-03-27
Department of Human Services,1490.06,2009-03-26
Office of the Attorney General,739.2,2009-03-25
Office of the Attorney General,429.36,2009-03-25
Office of the Attorney General,369.45,2009-03-25
Office of the Attorney General,83.28,2009-03-25
Department on Disability Services,60.85,2009-03-27
Department of Motor Vehicles,108.0,2009-03-27
Department of Motor Vehicles,30.0,2009-03-26
Office of the Tenant Advocate,1806.0,2009-03-28
Office of Veterans Affairs,-122.14,2009-03-24
Office of Motion Pictures & Television,357.83,2009-03-24
Metropolitan Police Department,1316.33,2009-03-23
Metropolitan Police Department,310.0,2009-03-25
Fire & Emergency Medical Services,167.2,2009-03-24
Fire & Emergency Medical Services,167.2,2009-03-24
Department of Mental Health,108.0,2009-04-09
Department of Mental Health,683.52,2009-04-10
Department of Employment Services,327.72,2009-04-10
Department of Public Works,278.0,2009-04-09
Office of Human Rights,298.95,2009-04-10
Office of the State Superintendent of Education,695.0,2009-04-10
Department of Property Management,1399.9,2009-04-10
Criminal Justice Coordinating Council,1069.09,2009-04-10
Commission of Judicial Disabilities & Tenure,63.44,2009-04-09
Department of Human Services,279.16,2009-04-09
Department of Employment Services,-15.0,2009-04-08
Metropolitan Police Department,1530.0,2009-04-09
Fire & Emergency Medical Services,262.33,2009-04-10
Department of  Youth Rehabilitation Services,131.6,2009-04-10
Department of Health,3.6,2009-04-10
Department of Health,419.2,2009-04-11
Department of Health,308.0,2009-04-10
Department of Health,-310.0,2009-04-10
Department of Motor Vehicles,1014.0,2009-04-10
Office of Unified Communications,36.0,2009-04-10
Metropolitan Police Department,106.2,2009-04-09
Metropolitan Police Department,2170.76,2009-04-10
Department of Employment Services,90.0,2009-04-10
District Department of the Environment,553.72,2009-04-10
DC Public Library,141.09,2009-04-11
DC Public Library,389.64,2009-04-10
DC Public Library,828.75,2009-04-10
Department of Corrections,695.0,2009-04-09
Department of Corrections,159.72,2009-04-13
Office of Latino Affairs,65.97,2009-04-10
District Department of the Environment,2448.0,2009-04-09
Office of Municipal Planning,560.0,2009-04-14
District Department of Transportation,1635.0,2009-04-13
Office of the Chief Financial Officer,26.99,2009-04-14
Department of Human Services,376.45,2009-04-13
Metropolitan Police Department,1686.5,2009-04-13
Fire & Emergency Medical Services,2791.33,2009-04-13
Department of Corrections,200.0,2009-04-13
District Department of Transportation,452.5,2009-04-13
Office of Contracting & Procurement,36.95,2009-04-13
Department of Corrections,295.0,2009-04-13
Department of Public Works,1166.1,2009-04-13
Department of Public Works,971.75,2009-04-13
Office of the Attorney General,189.85,2009-04-13
District Department of the Environment,1900.0,2009-04-13
Commission on Arts & Humanities,76.86,2009-04-13
Fire & Emergency Medical Services,2450.0,2009-04-13
Fire & Emergency Medical Services,30.43,2009-04-13
Department of Public Works,219.0,2009-04-13
Department of Health,2400.0,2009-04-13
Office of Community Affairs,195.0,2009-04-13
Department of  Youth Rehabilitation Services,27.0,2009-04-13
Department of  Youth Rehabilitation Services,194.9,2009-04-13
District Department of the Environment,264.2,2009-04-10
"Department of Insurance, Securities & Banking",147.59,2009-04-14
DC Public Library,124.3,2009-04-11
Department of Corrections,191.24,2009-04-13
Department of Corrections,53.78,2009-04-13
Department of Property Management,15.0,2009-04-13
Department of Public Works,94.8,2009-04-13
Fire & Emergency Medical Services,1671.56,2009-04-13
District Department of Transportation,1697.48,2009-04-13
District Department of Transportation,326.56,2009-04-13
Department of  Youth Rehabilitation Services,2309.7,2009-04-13
DC Department of Human Resources,149.0,2009-04-13
DC Department of Human Resources,425.0,2009-04-13
DC Department of Human Resources,900.0,2009-04-13
Alcoholic Beverage Regulation Administration,200.0,2009-04-13
Alcoholic Beverage Regulation Administration,900.0,2009-04-13
Alcoholic Beverage Regulation Administration,350.0,2009-04-13
Disability Compensation Fund,1314.08,2009-04-13
Office of the Secretary,269.33,2009-04-13
Office of the State Superintendent of Education,525.95,2009-04-06
District Department of the Environment,714.35,2009-04-13
District Department of the Environment,1475.9,2009-04-13
Department of Public Works,2145.04,2009-04-14
Department of  Youth Rehabilitation Services,13.74,2009-04-14
District Department of the Environment,1140.0,2009-04-13
Fire & Emergency Medical Services,370.0,2009-04-13
Fire & Emergency Medical Services,1482.32,2009-04-13
Department of Public Works,50.0,2009-04-14
District Department of the Environment,112.0,2009-04-14
Department of Public Works,1625.0,2009-04-07
Department of Public Works,650.0,2009-04-20
Department of  Youth Rehabilitation Services,-179.44,2009-04-16
Fire & Emergency Medical Services,1417.5,2009-04-20
Fire & Emergency Medical Services,73.2,2009-04-20
Department of  Youth Rehabilitation Services,449.0,2009-04-20
Department of  Youth Rehabilitation Services,3549.8,2009-04-20
DC Department of Human Resources,1495.0,2009-04-20
District Department of Transportation,88.2,2009-04-20
Office of the Secretary,800.0,2009-04-21
District Department of the Environment,1483.07,2009-04-20
Office of the Chief Technology Officer,2279.0,2009-04-20
Office of Human Rights,910.0,2009-04-20
District Department of the Environment,297.0,2009-04-20
District Department of the Environment,179.97,2009-04-20
Office of the Inspector General,19.98,2009-04-19
Office of the Inspector General,22.04,2009-04-20
Office of the Inspector General,615.0,2009-04-21
Office of the Inspector General,615.0,2009-04-21
Serve DC,150.0,2009-04-20
Fire & Emergency Medical Services,278.46,2009-04-20
Fire & Emergency Medical Services,23.0,2009-04-20
Office of Unified Communications,982.2,2009-04-20
DC Office of Risk Management,75.1,2009-04-20
DC Office of Risk Management,15.0,2009-04-19
Office of Contracting & Procurement,520.0,2009-04-20
Fire & Emergency Medical Services,2295.95,2009-04-20
Office on Aging,580.0,2009-04-20
Office of the State Superintendent of Education,160.0,2009-04-20
Office of the State Superintendent of Education,167.35,2009-04-21
District Department of Transportation,2495.0,2009-04-20
Commission on Arts & Humanities,234.97,2009-04-20
City Administrator/Deputy Mayor,6.5,2009-04-20
Department of Health,793.86,2009-04-20
Office of the State Superintendent of Education,1163.14,2009-04-20
District Department of Transportation,506.0,2009-04-20
Department of Small & Local Business Development,2060.0,2009-04-20
Office of the State Superintendent of Education,38.26,2009-04-21
District Department of Transportation,273.89,2009-04-20
Fire & Emergency Medical Services,787.5,2009-04-20
Fire & Emergency Medical Services,751.5,2009-04-20
Department on Disability Services,50.0,2009-04-20
Department on Disability Services,86.0,2009-04-20
Office of Community Affairs,233.0,2009-04-21
Department of Corrections,1882.0,2009-04-21
Office of Administrative Hearings,552.0,2009-04-20
District Department of the Environment,86.83,2009-04-20
District Department of the Environment,261.81,2009-04-20
District Department of Transportation,258.54,2009-04-21
Fire & Emergency Medical Services,2456.92,2009-04-21
Department of Property Management,32.19,2009-04-15
Office of the Tenant Advocate,215.63,2009-04-17
Department of Public Works,29.72,2009-04-20
Department of Public Works,1569.0,2009-04-21
Office of the Chief Technology Officer,992.42,2009-04-20
District Department of the Environment,142.26,2009-04-21
District Department of the Environment,222.0,2009-04-20
District Department of the Environment,636.44,2009-04-22
Office of Justice Grants Administration,408.5,2009-04-21
District Department of Transportation,13.3,2009-04-21
District Department of Transportation,13.3,2009-04-21
Department of Motor Vehicles,91.75,2009-04-20
Department of Motor Vehicles,1947.5,2009-04-21
Department of  Youth Rehabilitation Services,30.0,2009-04-21
Department of  Youth Rehabilitation Services,43.34,2009-04-21
Department of  Youth Rehabilitation Services,180.0,2009-04-21
Fire & Emergency Medical Services,50.0,2009-04-20
Department of Health,509.98,2009-04-20
Department of  Youth Rehabilitation Services,4200.0,2009-04-21
DC Public Library,174.84,2009-04-21
DC Public Library,380.03,2009-04-20
DC Public Library,90.0,2009-04-21
Fire & Emergency Medical Services,148.57,2009-04-20
Fire & Emergency Medical Services,948.63,2009-04-21
District Department of Transportation,42.5,2009-04-21
Department of Public Works,2470.12,2009-04-21
District Department of the Environment,2015.92,2009-04-20
District Department of the Environment,258.5,2009-04-20
District Department of the Environment,595.0,2009-04-21
Office of the Chief Technology Officer,168.15,2009-04-20
Office of the State Superintendent of Education,-950.54,2009-04-17
Office of the State Superintendent of Education,113.0,2009-04-20
Office of the State Superintendent of Education,176.0,2009-04-20
District Department of the Environment,26.03,2009-04-20
District Department of the Environment,25.0,2009-04-20
DC Department of Human Resources,40.0,2009-04-20
DC Department of Human Resources,182.2,2009-04-20
District Department of Transportation,79.48,2009-04-20
Office on Asian/Pacific Affairs,250.0,2009-04-20
Office on Asian/Pacific Affairs,250.0,2009-04-20
Office of the Inspector General,433.0,2009-04-21
Office of the State Superintendent of Education,177.0,2009-04-15
Fire & Emergency Medical Services,175.0,2009-04-20
Fire & Emergency Medical Services,194.85,2009-04-21
Fire & Emergency Medical Services,-12.99,2009-04-21
District Department of Transportation,10.58,2009-04-21
Office of Unified Communications,229.8,2009-04-20
Office of Unified Communications,25.0,2009-04-20
Department of Public Works,2493.05,2009-04-21
Office of Administrative Hearings,-400.0,2009-04-21
Office of the State Superintendent of Education,104.95,2009-04-21
Office of the State Superintendent of Education,217.4,2009-04-21
Department of Property Management,1273.7,2009-04-21
Department of Corrections,447.5,2009-04-21
Fire & Emergency Medical Services,99.9,2009-04-20
Fire & Emergency Medical Services,34.15,2009-04-20
Metropolitan Police Department,16.98,2009-04-21
Commission on Arts & Humanities,274.91,2009-04-20
Commission on Arts & Humanities,517.1,2009-04-21
Commission on Arts & Humanities,37.0,2009-04-21
District Department of Transportation,431.2,2009-04-14
Office of Cable TV,199.0,2009-04-14
Office of the Inspector General,280.0,2009-04-15
Office of the Inspector General,144.0,2009-04-14
Serve DC,500.0,2009-04-15
Serve DC,439.2,2009-04-14
Metropolitan Police Department,4226.27,2009-04-15
DC Department of Human Resources,63.98,2009-04-14
DC Department of Human Resources,235.0,2009-04-15
Fire & Emergency Medical Services,250.0,2009-04-14
Department of Public Works,292.5,2009-04-14
Department of Public Works,292.5,2009-04-14
Department of Public Works,292.5,2009-04-14
Department of Public Works,220.0,2009-04-14
Fire & Emergency Medical Services,47.9,2009-04-15
Department of Property Management,2497.47,2009-04-16
Department of Consumer & Regulatory Affairs,35.0,2009-04-15
Department of Consumer & Regulatory Affairs,35.0,2009-04-15
Department of Health,605.4,2009-04-14
Department of Health,20.0,2009-04-14
Office on Aging,2000.0,2009-04-15
Department of  Youth Rehabilitation Services,1077.56,2009-04-15
Office of the Attorney General,54.73,2009-04-15
Commission on Arts & Humanities,8.45,2009-04-14
Department of  Youth Rehabilitation Services,400.0,2009-04-15
DC Public Library,332.81,2009-04-15
DC Public Library,477.12,2009-04-14
Department of Mental Health,476.0,2009-04-14
Fire & Emergency Medical Services,2256.14,2009-04-14
Department of Consumer & Regulatory Affairs,275.0,2009-04-14
District Department of Transportation,575.0,2009-04-14
District Department of Transportation,89.5,2009-04-15
District Department of Transportation,89.5,2009-04-15
District Department of Transportation,225.0,2009-04-15
Department of Motor Vehicles,2400.0,2009-04-15
Office of Human Rights,31.71,2009-04-14
District Department of Transportation,665.28,2009-04-15
Office of the State Superintendent of Education,424.0,2009-04-15
Office of Victim Services,310.0,2009-04-14
Department of Property Management,1395.0,2009-04-16
Department of Human Services,42.35,2009-04-14
Department of  Youth Rehabilitation Services,59.99,2009-04-14
Department of Health,808.95,2009-04-15
District Department of Transportation,18.55,2009-04-14
District Department of Transportation,2895.0,2009-04-14
Office of Police Complaints,99.9,2009-04-14
Department of Corrections,142.3,2009-04-14
Department of Housing & Community Development,160.0,2009-04-15
Department of Health Care Finance,325.0,2009-04-15
Fire & Emergency Medical Services,1446.72,2009-04-15
Department of Corrections,235.72,2009-04-15
Department of Motor Vehicles,989.12,2009-04-15
District Department of the Environment,450.0,2009-04-15
Department of Property Management,296.37,2009-04-15
Office of the Chief Financial Officer,325.0,2009-04-14
Office of the Chief Financial Officer,120.09,2009-04-15
Office of the Chief Financial Officer,125.0,2009-04-15
Office of the Chief Financial Officer,57.9,2009-04-15
Office of the Chief Financial Officer,125.22,2009-04-15
Department of Mental Health,402.4,2009-04-14
Fire & Emergency Medical Services,2854.7,2009-04-15
District Department of Transportation,69.81,2009-04-14
District Department of Transportation,400.15,2009-04-15
Office of Cable TV,572.0,2009-04-16
"Department of Insurance, Securities & Banking",174.28,2009-04-16
"Department of Insurance, Securities & Banking",52.27,2009-04-16
"Department of Insurance, Securities & Banking",1735.11,2009-04-16
"Department of Insurance, Securities & Banking",-114.71,2009-04-16
"Department of Insurance, Securities & Banking",513.42,2009-04-15
Department of Public Works,217.33,2009-04-15
Department of Public Works,292.6,2009-04-16
Department of Public Works,370.55,2009-04-16
Office of the Tenant Advocate,889.98,2009-04-15
Office of the Chief Technology Officer,307.14,2009-04-15
District Department of the Environment,-1.2,2009-04-16
District Department of the Environment,1507.18,2009-04-15
Department of Employment Services,525.87,2009-04-16
District Department of Transportation,258.77,2009-04-16
Department of Health,570.4,2009-04-15
Department of Health,92.69,2009-04-16
Metropolitan Police Department,648.84,2009-04-15
Department of  Youth Rehabilitation Services,1651.35,2009-04-15
DC Public Library,95.0,2009-04-17
Department on Disability Services,39.99,2009-04-15
DC Public Library,934.95,2009-04-16
Office of the State Superintendent of Education,259.4,2009-04-15
Office of the State Superintendent of Education,357.3,2009-04-15
Department of Health,607.4,2009-04-16
District Department of Transportation,2495.0,2009-04-16
Department of Public Works,162.53,2009-04-15
Office of Human Rights,671.25,2009-04-15
District Department of Transportation,404.2,2009-04-15
District Department of Transportation,35.0,2009-04-15
Office of the Inspector General,600.0,2009-04-16
Deputy Mayor for Economic Development,2000.0,2009-04-15
Department of Corrections,80.0,2009-04-15
Department of Corrections,15.25,2009-04-15
DC Department of Human Resources,1242.23,2009-04-15
Department of Public Works,122.45,2009-04-14
Office of Partnership & Grant Services,15.0,2009-04-16
Department of  Youth Rehabilitation Services,263.4,2009-04-15
Fire & Emergency Medical Services,229.0,2009-04-16
Commission on Arts & Humanities,814.97,2009-04-16
DC Public Library,-83.09,2009-04-14
Office of Finance & Resource Management,30.02,2009-04-16
Office of the State Superintendent of Education,1201.19,2009-04-15
Fire & Emergency Medical Services,325.0,2009-04-15
Commission of Judicial Disabilities & Tenure,174.67,2009-04-15
Homeland Security/Emergency Management,990.0,2009-04-16
Department of Consumer & Regulatory Affairs,504.0,2009-04-15
Department of Consumer & Regulatory Affairs,71.99,2009-04-15
Department of Housing & Community Development,-232.63,2009-04-15
Department of Motor Vehicles,36.7,2009-04-15
Department of Motor Vehicles,244.44,2009-04-16
Department of Health,917.28,2009-04-16
Department of Health,26.18,2009-04-17
District Department of Transportation,71.95,2009-04-15
District Department of Transportation,3559.0,2009-04-15
District Department of Transportation,-100.0,2009-04-15
Fire & Emergency Medical Services,262.2,2009-04-15
Department of Corrections,95.0,2009-04-15
Department of Corrections,460.1,2009-04-16
Department on Disability Services,471.0,2009-04-16
Department on Disability Services,663.78,2009-04-15
Department of Mental Health,22.0,2009-04-08
DC Public Library,744.6,2009-04-16
Department of Corrections,186.23,2009-04-16
Department of Corrections,377.0,2009-04-16
Department of Corrections,378.3,2009-04-15
Department of Public Works,938.0,2009-04-16
Office of the State Superintendent of Education,-275.0,2009-04-16
DC Public Library,305.32,2009-04-16
Fire & Emergency Medical Services,633.45,2009-04-15
Fire & Emergency Medical Services,214.11,2009-04-15
District Department of Transportation,10.67,2009-04-15
Department of Health,552.32,2009-04-15
Department of Health,237.4,2009-04-15
District Department of Transportation,2499.36,2009-04-17
Office of Cable TV,450.0,2009-04-17
Office of Cable TV,450.0,2009-04-17
Office of Cable TV,450.0,2009-04-17
Office of Cable TV,450.0,2009-04-17
Fire & Emergency Medical Services,1344.81,2009-04-17
Office of Cable TV,2261.09,2009-04-16
DC Public Library,796.0,2009-04-17
Office of the Tenant Advocate,204.8,2009-04-18
DC Taxicab Commission,579.98,2009-04-17
Department of  Youth Rehabilitation Services,4.68,2009-04-17
District Department of the Environment,1600.0,2009-04-16
Department of Employment Services,282.0,2009-04-17
Department of Housing & Community Development,3.95,2009-04-19
Department of Housing & Community Development,394.86,2009-04-19
Office of Police Complaints,445.0,2009-04-17
Office of Police Complaints,445.0,2009-04-17
Office of Justice Grants Administration,134.91,2009-04-17
Department of Mental Health,600.0,2009-04-18
District Department of Transportation,425.0,2009-04-17
District Department of Transportation,425.0,2009-04-17
Department of Mental Health,-250.0,2009-04-14
Department of Human Services,2250.0,2009-04-17
Department of  Youth Rehabilitation Services,1448.96,2009-04-17
Fire & Emergency Medical Services,131.52,2009-04-17
Department of Health,4.75,2009-04-17
Department of Health,4.75,2009-04-17
Department of  Youth Rehabilitation Services,113.0,2009-04-17
Department of  Youth Rehabilitation Services,3000.0,2009-04-17
Disability Compensation Fund,100.0,2009-04-16
Disability Compensation Fund,455.0,2009-04-17
Metropolitan Police Department,539.8,2009-04-17
Department of  Youth Rehabilitation Services,82.05,2009-04-16
