AGENCY,TRANSACTION_AMOUNT,TRANSACTION_DATE
Department of Mental Health,-21.31,2009-02-01
Department of  Youth Rehabilitation Services,2027.15,2009-01-24
Department of  Youth Rehabilitation Services,-680.9,2009-03-02
Fire & Emergency Medical Services,266.71,2009-07-14
Office of the Chief Medical Examiner,-20.51,2009-07-17
Department on Disability Services,1059.48,2009-10-31
Department on Disability Services,1.5,2009-09-26
DC Public Library,-2.38,2009-08-21
Department of Health,199.91,2009-12-17
Department of Health,-10.89,2009-05-10
Department on Disability Services,-2.1,2009-04-16
DC Department of Human Resources,37.14,2009-10-21
Department of Housing & Community Development,107.51,2009-04-03
Department on Disability Services,37.99,2009-09-20
DC Taxicab Commission,46.88,2009-08-17
Office of the State Superintendent of Education,51.29,2009-11-28
District Department of the Environment,32.16,2009-07-11
Fire & Emergency Medical Services,128.66,2009-02-26
District Department of Transportation,57.87,2009-08-09
Commission on Arts & Humanities,-510.34,2009-08-29
Department of Health,267.27,2009-10-30
Metropolitan Police Department,6.89,2009-05-29
Office of the Tenant Advocate,564.09,2009-03-23
Fire & Emergency Medical Services,13.98,2009-02-06
Fire & Emergency Medical Services,224.52,2009-09-12
DC Department of Human Resources,361.64,2009-02-10
Department of Human Services,-280.03,2009-09-29
Metropolitan Police Department,39.71,2009-11-28
Office of the Chief Technology Officer,385.33,2009-08-02
District Department of the Environment,33.58,2009-01-26
Office of the Chief Financial Officer,12.92,2009-05-23
Department on Disability Services,140.3,2009-05-10
University of the District of Columbia,192.53,2009-04-06
Fire & Emergency Medical Services,128.77,2009-07-20
Office of the Mayor,53.93,2009-03-21
Fire & Emergency Medical Services,2204.82,2009-10-06
Fire & Emergency Medical Services,2162.02,2009-12-08
District Department of the Environment,284.86,2009-10-01
Office of Latino Affairs,28.16,2009-07-15
Department of Property Management,23.66,2009-10-01
DC Public Library,46.4,2009-12-18
Office of Police Complaints,-670.74,2009-02-27
Department of Parks & Recreation,59.19,2009-05-12
Office of the Chief Financial Officer,20.05,2009-11-30
District Department of Transportation,1013.91,2009-07-25
Office of the Attorney General,31.22,2009-05-02
Office of the Secretary,-0.49,2009-01-09
District Department of Transportation,8.34,2009-08-20
Department of  Youth Rehabilitation Services,33.97,2009-02-13
Department of Health,21.57,2009-02-27
Office on Asian/Pacific Affairs,-232.08,2009-02-25
Department of Employment Services,-14.45,2009-04-05
District Department of Transportation,2550.46,2009-05-11
Office of Unified Communications,-316.88,2009-06-07
"Department of Insurance, Securities & Banking",-239.16,2009-06-24
Fire & Emergency Medical Services,-8.32,2009-06-07
Department of Health,1712.51,2009-09-02
Office of the State Superintendent of Education,55.27,2009-09-29
Department of Corrections,2193.67,2009-08-17
Department of  Youth Rehabilitation Services,104.99,2009-04-02
Child & Family Services Administration,-6.63,2009-08-21
Department of Property Management,444.58,2009-10-01
District Department of Transportation,1380.77,2009-09-08
Office of Administrative Hearings,58.16,2009-08-31
Department of Consumer & Regulatory Affairs,8.88,2009-09-15
Department of Public Works,2064.58,2009-08-27
Metropolitan Police Department,45.9,2009-08-16
Department of Human Services,2036.24,2009-03-29
Office of Community Affairs,-1663.31,2009-08-28
Metropolitan Police Department,57.62,2009-05-08
Department of Public Works,453.64,2009-11-22
Fire & Emergency Medical Services,53.46,2009-06-22
Office of Administrative Hearings,21.83,2009-08-22
Office of the Chief Financial Officer,35.08,2009-09-05
Department of Public Works,994.86,2009-05-02
Fire & Emergency Medical Services,188.54,2009-11-06
Office of the State Superintendent of Education,1772.05,2009-08-09
District Department of Transportation,146.09,2009-03-10
Department of  Youth Rehabilitation Services,2009.22,2009-02-13
Fire & Emergency Medical Services,532.81,2009-09-06
Metropolitan Police Department,8.13,2009-04-06
Metropolitan Police Department,9.01,2009-01-16
DC Taxicab Commission,2464.19,2009-09-25
Fire & Emergency Medical Services,562.38,2009-10-17
Fire & Emergency Medical Services,-706.78,2009-11-14
District Department of Transportation,797.38,2009-08-21
Department of Employment Services,14.9,2009-08-05
Department of Consumer & Regulatory Affairs,216.45,2009-02-21
Department of  Youth Rehabilitation Services,199.68,2009-09-26
Department on Disability Services,569.53,2009-08-14
Department of Employment Services,42.29,2009-11-28
Fire & Emergency Medical Services,276.04,2009-09-08
DC Public Library,181.83,2009-12-02
Metropolitan Police Department,389.05,2009-04-10
Board of Elections & Ethics,1009.47,2009-08-17
Department of Health,-2.11,2009-03-15
Department of Employment Services,14.95,2009-07-26
Fire & Emergency Medical Services,31.11,2009-03-30
Department of Parks & Recreation,-671.23,2009-04-27
Office of the Tenant Advocate,19.2,2009-08-24
Serve DC,2021.47,2009-09-13
Department of Public Works,236.29,2009-03-18
Department of Public Works,69.68,2009-01-31
Department of Health,18.09,2009-12-12
Department of Human Services,50.91,2009-05-27
Office of Unified Communications,1872.15,2009-03-09
District Department of the Environment,176.37,2009-09-05
Contract Appeals Board,-383.83,2009-09-19
Disability Compensation Fund,7.85,2009-02-12
Homeland Security/Emergency Management,73.32,2009-07-07
Department of  Youth Rehabilitation Services,333.59,2009-08-28
University of the District of Columbia,400.67,2008-12-26
Homeland Security/Emergency Management,-1059.96,2009-07-08
Department of  Youth Rehabilitation Services,2385.5,2009-03-04
Department of Housing & Community Development,82.18,2009-04-10
Department of Public Works,552.31,2009-07-30
Department of Mental Health,32.82,2009-08-30
Fire & Emergency Medical Services,173.11,2009-11-29
Fire & Emergency Medical Services,251.7,2009-08-29
Office of Contracting & Procurement,30.75,2009-09-09
Office of the State Superintendent of Education,255.14,2009-02-10
Office of the Mayor,852.99,2009-03-02
DC Sentencing & Criminal Code Review Committee,16.59,2009-06-30
Department of Health,12.4,2009-09-14
Department of Health,598.22,2009-02-10
Department of Public Works,65.05,2009-08-23
Department of Property Management,2208.76,2009-04-03
Department of Consumer & Regulatory Affairs,38.68,2009-02-14
District Department of Transportation,296.24,2009-09-06
District Department of the Environment,80.98,2009-09-24
Fire & Emergency Medical Services,2098.55,2009-07-26
Office of the Inspector General,-48.21,2009-02-17
Department of Education,1330.72,2009-12-09
Office of the State Superintendent of Education,47.13,2009-05-02
Department of Employment Services,228.44,2009-03-20
Office of the Chief Financial Officer,-358.41,2009-06-29
Department of Health,0.75,2009-08-06
DC Public Library,480.73,2009-09-25
Department of Employment Services,-0.79,2009-08-02
Office of Disability Rights,817.41,2009-06-02
Department of Health,130.84,2009-04-13
Office of the Chief Technology Officer,16.34,2009-07-26
Department of Property Management,1358.52,2009-09-25
Department on Disability Services,2088.05,2009-03-12
Department of  Youth Rehabilitation Services,491.54,2009-03-26
Department of Consumer & Regulatory Affairs,99.92,2009-09-06
District Department of Transportation,69.58,2009-09-09
Fire & Emergency Medical Services,69.13,2009-09-19
Department of Parks & Recreation,11.86,2009-08-22
Department of Health,-910.7,2009-02-25
Department of Health,874.52,2009-04-15
Department of Motor Vehicles,114.73,2009-08-21
Fire & Emergency Medical Services,20.85,2009-05-31
Fire & Emergency Medical Services,198.7,2009-07-04
Office of Municipal Planning,2.79,2009-02-08
Office of Municipal Planning,-612.68,2009-08-09
District Department of the Environment,136.57,2009-02-22
Department of Education,287.44,2009-08-10
University of the District of Columbia,76.06,2009-07-16
Metropolitan Police Department,-751.94,2009-02-16
Fire & Emergency Medical Services,37.4,2009-09-24
DC Public Library,202.98,2009-02-16
Department of  Youth Rehabilitation Services,27.65,2009-10-19
Department of Property Management,2069.45,2009-09-06
Department of Corrections,1799.36,2009-01-03
Department of Consumer & Regulatory Affairs,249.02,2009-04-14
Fire & Emergency Medical Services,36.65,2009-08-25
Office of Human Rights,230.59,2009-04-07
Office of the Mayor,17.91,2009-12-19
Department of Health,-19.47,2009-01-29
Office of the Attorney General,41.91,2009-09-03
Office of the Chief Technology Officer,2187.32,2009-01-23
Office of the Mayor,2121.94,2009-01-21
Department of Health,1910.79,2009-01-30
Office of the Attorney General,178.94,2009-08-30
Office of the Mayor,368.93,2009-05-08
Metropolitan Police Department,48.82,2009-11-06
Department of Parks & Recreation,55.47,2009-09-28
District Department of Transportation,-466.91,2009-09-29
Department of Health,5.79,2009-11-09
Contract Appeals Board,753.88,2009-09-11
Fire & Emergency Medical Services,182.42,2009-10-29
Department of Health,284.44,2009-08-21
Department of Human Services,8.48,2008-12-28
District Department of the Environment,22.85,2009-09-01
Serve DC,45.79,2009-03-01
Office of the Chief Medical Examiner,1.72,2009-08-02
Office of the Chief Financial Officer,-46.85,2009-09-26
Fire & Emergency Medical Services,178.67,2009-08-14
DC Public Library,1699.0,2009-05-10
DC Public Library,-489.11,2009-04-28
Homeland Security/Emergency Management,42.23,2009-09-24
Department of Motor Vehicles,2313.17,2009-01-06
Department of Property Management,62.42,2009-02-18
Office of the Chief Financial Officer,1819.96,2009-02-13
Office of the Chief Financial Officer,2359.36,2009-08-06
Department of Public Works,2369.25,2009-11-25
District Department of the Environment,774.57,2009-09-03
Office of the Tenant Advocate,391.29,2009-03-06
District Department of the Environment,189.22,2009-08-12
Serve DC,119.19,2009-04-24
Fire & Emergency Medical Services,320.1,2009-09-23
Department of Mental Health,157.6,2009-01-10
Department of Health,492.48,2009-07-23
Criminal Justice Coordinating Council,2214.87,2009-03-04
Department of Corrections,720.32,2009-03-09
District Department of the Environment,200.99,2009-03-20
Fire & Emergency Medical Services,740.27,2009-05-29
Department of Motor Vehicles,719.97,2009-10-02
Judicial Nomination Commission,1997.13,2009-04-27
Department of Health,173.09,2009-10-04
Office of Contracting & Procurement,38.72,2009-08-16
Office of the Attorney General,1831.5,2009-08-25
Department of Corrections,2181.02,2009-07-31
University of the District of Columbia,2337.16,2009-09-07
Department of Human Services,74.96,2009-05-26
Department of Property Management,2242.43,2009-08-25
Commission on Arts & Humanities,-63.83,2009-12-11
Office of Community Affairs,16.43,2009-08-25
Fire & Emergency Medical Services,156.35,2009-10-11
Department of  Youth Rehabilitation Services,281.18,2009-09-18
"Department of Insurance, Securities & Banking",324.57,2009-10-26
District Department of the Environment,153.21,2009-08-15
Department on Disability Services,30.69,2009-02-05
Office of the Chief Financial Officer,312.42,2009-03-18
Department of Property Management,471.95,2009-06-14
Department of Health,162.11,2009-10-06
Department of Property Management,2350.24,2009-04-27
Department of Corrections,153.88,2009-04-28
Department of Human Services,53.38,2009-09-19
Office of the State Superintendent of Education,36.96,2009-02-19
Metropolitan Police Department,20.2,2009-04-27
Department on Disability Services,35.97,2009-08-07
Office of Unified Communications,2310.81,2009-09-15
Office of the Mayor,-5.68,2009-04-29
Fire & Emergency Medical Services,239.43,2009-08-27
Department of  Youth Rehabilitation Services,586.4,2009-09-10
Office of the Mayor,136.62,2009-05-12
District Department of Transportation,380.6,2009-08-17
DC Public Library,-38.52,2009-09-23
Department of Public Works,88.27,2009-08-01
Department of Corrections,141.04,2009-01-30
Department of Property Management,248.96,2009-12-04
District Department of Transportation,197.41,2009-04-07
Fire & Emergency Medical Services,332.84,2009-08-13
Fire & Emergency Medical Services,45.01,2009-11-27
District Department of the Environment,1771.52,2009-08-13
District Department of the Environment,54.76,2009-01-19
District Department of Transportation,679.16,2009-05-25
Department of Parks & Recreation,123.18,2009-12-19
Department of Human Services,27.66,2009-04-24
Department of Health,1463.69,2009-04-04
Department of  Youth Rehabilitation Services,53.39,2009-04-15
Department of Health,1744.97,2009-04-10
Department of Health,16.7,2009-11-23
Office on Asian/Pacific Affairs,38.44,2009-09-12
Commission on Arts & Humanities,9.53,2009-02-11
DC Department of Human Resources,2148.57,2009-08-28
Department of Parks & Recreation,2129.75,2009-08-29
Department of Health,2140.1,2009-09-26
Office of the Mayor,2177.34,2009-09-10
University of the District of Columbia,62.71,2009-08-03
Fire & Emergency Medical Services,245.18,2009-07-10
City Administrator/Deputy Mayor,1775.41,2009-03-28
Department of Mental Health,-98.66,2009-07-30
District Department of Transportation,1911.42,2009-02-15
Department of Public Works,1025.48,2009-08-25
Serve DC,584.07,2009-10-10
Metropolitan Police Department,51.19,2009-08-25
Serve DC,18.54,2009-08-28
Department of Mental Health,41.19,2009-07-30
Office of the State Superintendent of Education,2048.82,2009-05-10
Department of Human Services,84.59,2009-08-15
Department of Property Management,1921.01,2009-04-04
Fire & Emergency Medical Services,1887.15,2009-12-20
Department of Public Works,2053.98,2009-08-21
Office of the Attorney General,2302.55,2009-03-21
District Department of the Environment,269.94,2009-01-19
Fire & Emergency Medical Services,42.29,2009-11-11
Department of Consumer & Regulatory Affairs,363.59,2009-08-15
Department on Disability Services,-67.88,2009-05-20
Fire & Emergency Medical Services,809.26,2009-01-24
Office of the Chief Financial Officer,1682.34,2009-01-30
District Department of the Environment,55.51,2009-03-01
Fire & Emergency Medical Services,45.29,2009-03-02
Fire & Emergency Medical Services,2128.38,2009-01-20
Fire & Emergency Medical Services,2406.1,2009-11-14
Department of Health,-133.88,2009-08-06
Department of Motor Vehicles,485.34,2009-09-24
District Department of the Environment,66.33,2009-03-26
Child & Family Services Administration,-43.43,2009-08-30
Department of Employment Services,2577.46,2009-06-09
Office on Aging,916.03,2009-04-11
Office of the Chief Financial Officer,299.67,2009-09-16
Department of Health,395.86,2009-08-12
Department of Parks & Recreation,1701.75,2009-07-26
"Department of Insurance, Securities & Banking",577.63,2009-03-27
District Department of Transportation,26.27,2009-07-31
Department of Health,434.13,2009-03-27
Office of the Mayor,1277.34,2009-08-20
Department of Public Works,966.2,2009-05-20
Fire & Emergency Medical Services,68.55,2009-02-02
District Department of the Environment,370.02,2009-01-06
Office of the Chief Technology Officer,213.98,2009-09-13
Fire & Emergency Medical Services,-2.27,2009-03-26
Office of the Chief Financial Officer,46.79,2009-03-13
Office of the Inspector General,304.41,2009-03-10
Fire & Emergency Medical Services,58.49,2009-12-27
Department of Motor Vehicles,1655.43,2009-08-20
Metropolitan Police Department,521.38,2009-08-07
Office of the Chief Financial Officer,-9.62,2009-04-25
Department of  Youth Rehabilitation Services,35.64,2009-09-25
Fire & Emergency Medical Services,29.53,2009-05-06
District Department of the Environment,20.49,2009-11-20
Metropolitan Police Department,18.0,2009-09-27
Office of Community Affairs,2010.46,2009-08-31
Department of  Youth Rehabilitation Services,2219.49,2009-08-19
District Department of the Environment,69.39,2009-01-14
DC Public Library,-1244.31,2009-10-23
Homeland Security/Emergency Management,15.03,2009-08-03
Office of the State Superintendent of Education,-340.36,2009-08-26
Department on Disability Services,66.54,2009-08-29
Office of the Inspector General,32.18,2009-07-07
Department of Housing & Community Development,50.74,2009-12-03
DC Public Library,666.96,2009-09-10
District Department of the Environment,479.18,2009-03-07
Department of Property Management,192.85,2009-01-21
Department of Property Management,49.35,2009-01-23
District Department of the Environment,124.69,2009-02-02
Homeland Security/Emergency Management,94.8,2009-02-25
District Department of the Environment,449.94,2009-07-04
Department of  Youth Rehabilitation Services,-474.11,2009-08-18
Office of the Inspector General,671.27,2009-07-14
Office of the Tenant Advocate,2166.31,2009-04-13
District Department of the Environment,88.58,2009-03-11
Department of Human Services,401.22,2009-04-18
Fire & Emergency Medical Services,23.49,2009-09-13
Office of the Attorney General,-227.69,2009-12-15
Department of  Youth Rehabilitation Services,19.19,2009-08-24
Metropolitan Police Department,199.92,2009-08-26
Office of the State Superintendent of Education,15.78,2009-03-14
Department of Health,417.55,2009-02-04
Department of Property Management,87.84,2009-08-10
Commission on Arts & Humanities,35.13,2009-08-05
Department on Disability Services,30.91,2009-04-08
Metropolitan Police Department,2169.56,2009-08-22
Office of the Chief Financial Officer,1580.59,2009-03-02
Office of the Chief Medical Examiner,24.82,2009-09-15
Office of the Mayor,2001.22,2009-09-06
District Department of the Environment,440.21,2009-05-29
Office of Victim Services,1029.5,2009-09-24
DC Public Library,14.04,2009-09-18
University of the District of Columbia,61.1,2009-02-21
District Department of Transportation,100.57,2009-03-30
Child & Family Services Administration,86.39,2009-09-11
Deputy Mayor for Economic Development,2245.4,2009-12-10
Fire & Emergency Medical Services,1738.28,2009-08-10
Office of the Secretary,-263.67,2009-08-15
Department on Disability Services,2142.74,2009-09-01
Office of the Tenant Advocate,49.04,2009-08-10
Department on Disability Services,461.43,2009-01-21
Department of  Youth Rehabilitation Services,556.36,2009-09-13
Office of the Inspector General,1780.31,2009-08-21
Office of Contracting & Procurement,34.06,2009-03-26
District Department of Transportation,147.07,2009-04-24
Department of Employment Services,2149.13,2009-05-18
DC Department of Human Resources,35.36,2009-08-07
Department of Public Works,31.93,2009-08-12
DC Public Library,1.87,2009-08-08
Department of Health,189.29,2009-08-19
Office of Partnership & Grant Services,1927.12,2009-08-20
Office of the Mayor,43.5,2009-09-27
University of the District of Columbia,21.81,2009-03-16
District Department of Transportation,22.97,2009-08-24
Office of Zoning,-175.98,2009-07-30
Department of Motor Vehicles,16.65,2009-10-12
Commission of Judicial Disabilities & Tenure,2346.36,2009-09-11
Department of  Youth Rehabilitation Services,17.6,2009-06-18
District Department of Transportation,44.03,2009-08-01
Department of  Youth Rehabilitation Services,410.24,2009-02-02
Office of Contracting & Procurement,726.19,2009-12-25
District Department of Transportation,76.6,2009-02-10
Department on Disability Services,15.2,2009-02-24
Fire & Emergency Medical Services,106.79,2009-09-14
Department of Public Works,10.5,2009-05-27
Deputy Mayor for Economic Development,284.7,2009-04-20
Fire & Emergency Medical Services,1988.22,2009-07-29
Department of Public Works,22.94,2009-03-14
Office of the Inspector General,-1460.53,2009-05-06
Office of Municipal Planning,129.87,2009-10-19
Department on Disability Services,219.39,2009-09-20
Fire & Emergency Medical Services,21.55,2009-09-09
District Department of Transportation,45.64,2009-08-24
DC Public Library,406.68,2009-03-02
Commission on Arts & Humanities,5.1,2009-11-01
Department of Human Services,473.3,2009-01-18
Department on Disability Services,1255.22,2009-02-11
DC Lottery & Charitable Games Control Board,150.25,2009-09-21
Office of Contracting & Procurement,101.95,2009-04-25
Office of the Chief Financial Officer,-1781.43,2009-03-14
Department on Disability Services,817.72,2009-04-07
District Department of Transportation,194.93,2009-06-15
Fire & Emergency Medical Services,-826.9,2009-05-01
Department on Disability Services,427.88,2009-06-09
Department of Education,1676.63,2009-12-01
Department of Property Management,-337.06,2009-02-04
Serve DC,4.68,2009-04-27
Office of Latino Affairs,1783.55,2009-02-16
Department of Parks & Recreation,17.55,2009-04-26
Office of Administrative Hearings,902.52,2009-07-22
Department of Human Services,1996.76,2009-04-25
City Administrator/Deputy Mayor,-368.22,2009-04-16
Department of Health,840.27,2009-08-17
Office of the Chief Financial Officer,119.43,2009-01-24
Fire & Emergency Medical Services,84.68,2009-01-12
Department of Property Management,22.82,2009-10-02
Fire & Emergency Medical Services,115.13,2009-08-11
Fire & Emergency Medical Services,-185.0,2009-03-20
Fire & Emergency Medical Services,45.86,2009-08-18
Office of Municipal Planning,-3.85,2009-08-30
Department of Health,16.15,2009-02-16
Office of the Chief Technology Officer,367.78,2009-06-24
Department of  Youth Rehabilitation Services,3.7,2009-11-24
Fire & Emergency Medical Services,49.32,2009-09-15
Department of Mental Health,-56.24,2009-04-27
Department of Consumer & Regulatory Affairs,113.73,2009-01-29
DC Office of Risk Management,1881.61,2009-09-04
Office of the Chief Financial Officer,536.12,2009-07-14
Office of the Mayor,10.49,2009-08-22
Office of the Secretary,4.52,2009-09-19
Office of the Attorney General,52.03,2009-03-18
Department of Corrections,87.28,2009-07-27
Fire & Emergency Medical Services,493.39,2009-02-02
DC Public Library,22.82,2009-08-18
Department on Disability Services,1799.09,2009-08-24
Department of Motor Vehicles,-319.25,2009-01-29
Metropolitan Police Department,1795.28,2009-05-19
DC Public Library,494.98,2009-02-03
Commission on Arts & Humanities,16.34,2009-09-10
Department of Health,-2023.68,2009-01-12
Department of Health,128.19,2009-01-26
Department of Corrections,15.53,2009-02-16
Metropolitan Police Department,-3.61,2009-07-10
Fire & Emergency Medical Services,2152.45,2009-02-01
Department of Human Services,20.75,2009-08-07
Office of the Chief Medical Examiner,2099.56,2009-03-04
Office of the Chief Financial Officer,37.14,2009-12-08
Office of the Inspector General,1768.58,2009-09-05
Department of Mental Health,638.7,2009-05-26
Office of the Tenant Advocate,83.55,2009-03-04
Department of Health,1790.22,2009-08-09
Department of Property Management,184.68,2009-07-11
Department on Disability Services,761.53,2009-04-13
Office of the Mayor,2229.13,2009-07-28
Office of the Chief Financial Officer,803.81,2009-06-09
District Department of the Environment,2009.27,2009-07-02
Office of the Chief Financial Officer,39.91,2009-09-04
Department of Public Works,49.23,2009-03-28
Office of the Chief Financial Officer,2235.58,2009-06-27
City Administrator/Deputy Mayor,29.81,2009-03-25
"Department of Insurance, Securities & Banking",-918.83,2009-01-11
Fire & Emergency Medical Services,210.55,2009-11-05
District Department of Transportation,174.44,2009-06-17
Office of the Chief Financial Officer,233.55,2009-02-07
Office of the Chief Financial Officer,69.24,2009-08-30
Office of the Mayor,41.81,2009-08-23
Office of the Attorney General,150.96,2009-09-27
Department of Employment Services,58.12,2009-08-31
Office of Police Complaints,511.91,2009-01-18
Contract Appeals Board,18.82,2009-08-14
DC Public Library,93.14,2009-02-23
Fire & Emergency Medical Services,2306.65,2009-08-16
Fire & Emergency Medical Services,1958.97,2009-12-25
Fire & Emergency Medical Services,788.55,2009-11-22
DC Department of Human Resources,995.04,2009-09-22
Office of the Tenant Advocate,99.87,2009-02-12
Fire & Emergency Medical Services,-923.16,2009-03-29
Office of the Chief Financial Officer,9.29,2009-01-09
Office of the State Superintendent of Education,2370.03,2009-08-12
Department of Housing & Community Development,191.23,2009-09-21
Department of Education,378.17,2008-12-31
Metropolitan Police Department,254.25,2009-01-26
Office of the Tenant Advocate,30.5,2009-12-15
District Department of Transportation,373.76,2009-01-22
Fire & Emergency Medical Services,42.4,2009-08-05
Department of Mental Health,-1216.55,2009-10-02
Office of Cable TV,-858.41,2009-09-10
Department of Human Services,549.47,2009-09-16
Office on Aging,81.35,2009-05-15
Department of Health,16.9,2009-04-07
Board of Elections & Ethics,33.92,2009-07-06
District Department of Transportation,1942.46,2009-01-21
Department of Motor Vehicles,1587.34,2009-01-17
Department of Health,-371.65,2009-03-06
Department of Mental Health,97.17,2009-03-28
Department of Education,-1245.27,2009-08-16
Office of the Chief Medical Examiner,17.2,2009-04-25
Office of Unified Communications,1977.07,2009-07-15
Child & Family Services Administration,1085.5,2009-09-18
Office of the Chief Financial Officer,203.57,2009-09-11
Department of  Youth Rehabilitation Services,10.45,2009-02-14
Department of Public Works,59.22,2009-04-27
Department of Public Works,1334.68,2009-07-11
Homeland Security/Emergency Management,30.58,2009-03-04
Office of the Chief Financial Officer,2051.23,2009-01-15
Office of Disability Rights,38.48,2009-12-11
Commission of Judicial Disabilities & Tenure,200.73,2009-08-03
Fire & Emergency Medical Services,333.87,2009-04-10
Department of Health,12.93,2009-03-05
Office of the Mayor,2375.76,2009-04-08
District Department of Transportation,8.09,2009-08-08
Office of the Chief Financial Officer,460.53,2009-11-03
Homeland Security/Emergency Management,1627.83,2009-04-07
Fire & Emergency Medical Services,243.42,2009-09-16
Fire & Emergency Medical Services,781.66,2009-02-07
District Department of Transportation,-343.23,2009-03-05
Department of Mental Health,308.78,2009-02-04
District Department of Transportation,26.95,2009-11-19
Office of the Secretary,107.62,2009-01-22
Department of Health,21.3,2009-10-15
Department of Employment Services,26.64,2009-04-07
Office of the Inspector General,5.3,2009-11-29
Office of Partnership & Grant Services,762.62,2009-04-20
Department of Health,28.19,2009-03-20
City Administrator/Deputy Mayor,51.75,2009-03-27
Department of Housing & Community Development,1976.38,2009-04-29
Criminal Justice Coordinating Council,45.55,2009-04-28
Department of  Youth Rehabilitation Services,1664.26,2009-09-22
Department of Health,2131.8,2009-01-19
University of the District of Columbia,466.7,2009-08-11
Office of Community Affairs,40.39,2009-03-23
Fire & Emergency Medical Services,43.75,2009-11-20
Fire & Emergency Medical Services,79.5,2009-09-09
Office of Finance & Resource Management,21.56,2009-12-09
Department of Health,9.14,2009-02-06
Fire & Emergency Medical Services,128.71,2009-09-15
Fire & Emergency Medical Services,115.41,2009-08-13
District Department of Transportation,-89.2,2009-11-24
Metropolitan Police Department,702.38,2009-03-13
Office of the Chief Financial Officer,45.84,2009-05-27
Office of Zoning,1788.1,2009-08-30
Office of the Inspector General,1033.47,2009-08-14
Office of the Inspector General,35.07,2009-01-06
Fire & Emergency Medical Services,122.45,2009-09-05
Fire & Emergency Medical Services,78.96,2009-01-28
Department of Employment Services,6.97,2009-05-22
Fire & Emergency Medical Services,1989.74,2009-08-23
Department of Public Works,246.1,2009-04-08
Office of the Chief Technology Officer,2.95,2009-12-27
District Department of the Environment,31.9,2009-09-10
Office of the Inspector General,-9.93,2009-10-22
DC Department of Human Resources,1350.98,2009-06-27
Commission on Arts & Humanities,60.52,2009-10-24
Metropolitan Police Department,-2.21,2009-10-31
Office of the State Superintendent of Education,376.66,2009-07-31
Office of the Chief Technology Officer,136.72,2009-02-18
District Department of Transportation,-184.29,2009-01-10
Department of Property Management,692.36,2009-11-01
Office of the Attorney General,25.4,2009-09-01
DC National Guard,25.53,2009-08-19
Office of Contracting & Procurement,132.21,2009-05-02
DC Taxicab Commission,501.27,2009-08-18
Office of Victim Services,26.27,2009-09-27
Office of Latino Affairs,-26.64,2009-01-08
District Department of Transportation,117.05,2009-09-22
Homeland Security/Emergency Management,950.2,2009-05-16
Metropolitan Police Department,63.4,2009-05-22
Department of Employment Services,119.19,2009-08-24
Fire & Emergency Medical Services,20.74,2009-06-29
Department of Health,129.68,2009-03-06
Department of Property Management,52.06,2009-04-08
Department of Motor Vehicles,712.84,2009-02-08
Office of the Chief Medical Examiner,95.76,2009-09-22
Office on Aging,-368.78,2009-03-25
Department of Corrections,246.48,2009-08-18
District Department of Transportation,44.86,2009-12-04
Office of the Chief Financial Officer,33.39,2009-05-20
Department of Housing & Community Development,1911.33,2009-02-16
Department of  Youth Rehabilitation Services,87.45,2009-04-08
Department on Disability Services,36.88,2009-08-24
Serve DC,-16.05,2009-03-02
Fire & Emergency Medical Services,-6.58,2009-01-16
Fire & Emergency Medical Services,139.01,2009-01-26
District Department of the Environment,78.82,2009-09-28
Department of Public Works,264.39,2009-05-13
Department of Health,2230.05,2009-02-16
Department of Human Services,630.7,2009-03-17
Department of Health,1906.23,2009-02-10
Office of Municipal Planning,1904.02,2009-07-17
Department of Public Works,2287.65,2009-04-27
Department of  Youth Rehabilitation Services,-15.85,2009-11-30
Office on Aging,24.82,2009-02-17
Department of  Youth Rehabilitation Services,1567.95,2009-02-24
District Department of the Environment,2507.25,2009-05-27
Board of Real Property Assessment & Appeals,666.11,2009-09-13
Office of the Inspector General,1250.55,2009-12-02
Department of  Youth Rehabilitation Services,66.2,2009-02-23
DC Public Library,81.03,2009-09-10
District Department of the Environment,2126.07,2009-04-06
Department of Property Management,2187.34,2009-12-12
Office of the Chief Medical Examiner,1918.47,2009-05-17
DC Public Library,30.42,2009-02-17
District Department of the Environment,10.11,2009-09-01
Fire & Emergency Medical Services,49.05,2009-11-19
District Department of the Environment,29.61,2009-02-09
Fire & Emergency Medical Services,166.94,2009-04-26
Department of Motor Vehicles,52.27,2009-09-15
Office of Contracting & Procurement,68.87,2009-09-16
Department of Employment Services,23.42,2009-04-22
Office of the Inspector General,-222.64,2009-04-14
District Department of Transportation,460.17,2009-10-03
Office of the Inspector General,350.96,2009-05-20
Department of Human Services,89.69,2009-10-26
Office of the Chief Technology Officer,29.44,2009-08-17
Office of the Attorney General,2047.33,2009-12-05
DC Department of Human Resources,53.87,2009-04-03
Department of Public Works,106.9,2009-09-27
Metropolitan Police Department,546.17,2009-03-28
Office of the Chief Technology Officer,147.46,2009-11-14
Department of Consumer & Regulatory Affairs,-298.71,2009-12-23
Department of  Youth Rehabilitation Services,127.06,2009-11-25
District Department of Transportation,330.77,2009-03-24
Office of the Chief Technology Officer,64.37,2009-08-02
University of the District of Columbia,59.32,2009-04-14
DC Sentencing & Criminal Code Review Committee,523.74,2009-06-29
District Department of the Environment,535.05,2009-01-11
Fire & Emergency Medical Services,2171.3,2009-02-18
